# covariate data from Gray et al. (2015) Genetics 201:213-228
# nrow 1212
# ncol 10
ID,sex,Mom,Dad,grandparents,Cross,direction,DOB,wean,pgm
1507,F,1149,1151,686:791,B,WG,2012-08-16,2012-09-10,1
1413,F,1016,1013,686:791,B,WG,2012-07-28,2012-08-16,1
1430,F,736,624,526:554,A,WG,2012-07-30,2012-08-28,1
1438,M,1010,1012,784:687,B,GW,2012-08-06,2012-09-03,0
1446,F,1018,1015,686:791,B,WG,2012-08-07,2012-08-29,1
1454,M,1135,1133,784:687,B,GW,2012-08-08,2012-08-31,0
1461,F,1096,1097,686:791,B,WG,2012-08-10,2012-08-29,1
1476,M,1098,1099,686:791,B,WG,2012-08-15,2012-09-12,1
1484,F,1145,1150,686:791,B,WG,2012-08-15,2012-09-08,1
1492,M,1146,1144,686:791,B,WG,2012-08-15,2012-09-08,1
1500,F,1016,1013,686:791,B,WG,2012-08-16,2012-09-09,1
1508,F,1149,1151,686:791,B,WG,2012-08-16,2012-09-10,1
1420,M,1082,1080,784:687,B,GW,2012-07-28,2012-08-21,0
1431,M,736,624,526:554,A,WG,2012-07-30,2012-08-28,1
1439,F,1010,1012,784:687,B,GW,2012-08-06,2012-09-03,0
1447,F,1018,1015,686:791,B,WG,2012-08-07,2012-08-29,1
1455,M,1132,1131,784:687,B,GW,2012-08-08,2012-08-31,0
1462,F,1096,1097,686:791,B,WG,2012-08-10,2012-08-29,1
1469,M,1095,1097,686:791,B,WG,2012-08-10,2012-09-07,1
1477,F,1098,1099,686:791,B,WG,2012-08-15,2012-09-12,1
1485,M,1145,1150,686:791,B,WG,2012-08-15,2012-09-08,1
1493,M,1146,1144,686:791,B,WG,2012-08-15,2012-09-08,1
1501,M,1016,1013,686:791,B,WG,2012-08-16,2012-09-09,1
1509,M,1149,1151,686:791,B,WG,2012-08-16,2012-09-10,1
1432,F,736,624,526:554,A,WG,2012-07-30,2012-08-28,1
1440,F,1010,1012,784:687,B,GW,2012-08-06,2012-09-03,0
1448,M,1135,1133,784:687,B,GW,2012-08-08,2012-08-31,0
1456,F,1132,1131,784:687,B,GW,2012-08-08,2012-08-31,0
1463,M,1095,1097,686:791,B,WG,2012-08-10,2012-09-07,1
1470,M,1062,1059,686:791,B,WG,2012-08-14,2012-09-05,1
1478,F,1098,1099,686:791,B,WG,2012-08-15,2012-09-12,1
1486,M,1145,1150,686:791,B,WG,2012-08-15,2012-09-08,1
1494,F,1146,1144,686:791,B,WG,2012-08-15,2012-09-08,1
1502,F,1016,1013,686:791,B,WG,2012-08-16,2012-09-09,1
1513,F,1147,1148,686:791,B,WG,2012-08-17,2012-09-12,1
1518,M,1084,1081,784:687,B,GW,2012-08-17,2012-09-08,0
1527,M,1061,1063,686:791,B,WG,2012-08-21,2012-09-14,1
1535,F,1082,1080,784:687,B,GW,2012-08-21,2012-09-15,0
1543,M,1135,1133,784:687,B,GW,2012-08-31,2012-09-26,0
1551,M,1132,1131,784:687,B,GW,2012-09-01,2012-09-25,0
1559,M,1018,1015,686:791,B,WG,2012-08-29,2012-09-21,1
1566,F,1096,1097,686:791,B,WG,2012-08-29,2012-09-21,1
1988,F,669,739,526:554,A,WG,2012-09-05,2012-10-03,1
1578,F,1145,1150,686:791,B,WG,2012-09-07,2012-10-03,1
1586,F,1146,1144,686:791,B,WG,2012-09-07,2012-10-03,1
1594,F,1062,1059,686:791,B,WG,2012-09-05,2012-09-26,1
1511,M,1149,1151,686:791,B,WG,2012-08-16,2012-09-10,1
1519,F,1084,1081,784:687,B,GW,2012-08-17,2012-09-08,0
1528,M,1061,1063,686:791,B,WG,2012-08-21,2012-09-14,1
1536,M,1082,1080,784:687,B,GW,2012-08-21,2012-09-15,0
1544,F,1135,1133,784:687,B,GW,2012-08-31,2012-09-26,0
1552,M,1132,1131,784:687,B,GW,2012-09-01,2012-09-25,0
1560,F,1018,1015,686:791,B,WG,2012-08-29,2012-09-21,1
1567,M,1096,1097,686:791,B,WG,2012-08-29,2012-09-21,1
1571,F,1011,1083,784:687,B,GW,2012-09-07,2012-09-29,0
1579,M,1145,1150,686:791,B,WG,2012-09-07,2012-10-03,1
1587,M,1146,1144,686:791,B,WG,2012-09-07,2012-10-03,1
1512,F,1149,1151,686:791,B,WG,2012-08-16,2012-09-10,1
1520,F,1084,1081,784:687,B,GW,2012-08-17,2012-09-08,0
1529,F,1061,1063,686:791,B,WG,2012-08-21,2012-09-14,1
1537,M,1082,1080,784:687,B,GW,2012-08-21,2012-09-15,0
1545,F,1135,1133,784:687,B,GW,2012-08-31,2012-09-26,0
1553,M,1132,1131,784:687,B,GW,2012-09-01,2012-09-25,0
1568,F,1096,1097,686:791,B,WG,2012-08-29,2012-09-21,1
1572,F,1011,1083,784:687,B,GW,2012-09-07,2012-09-29,0
1580,F,1145,1150,686:791,B,WG,2012-09-07,2012-10-03,1
1588,M,1146,1144,686:791,B,WG,2012-09-07,2012-10-03,1
1595,M,1062,1059,686:791,B,WG,2012-09-05,2012-09-26,1
1510,M,1149,1151,686:791,B,WG,2012-08-16,2012-09-10,1
1521,M,1084,1081,784:687,B,GW,2012-08-17,2012-09-08,0
1530,M,1061,1063,686:791,B,WG,2012-08-21,2012-09-14,1
1538,M,1082,1080,784:687,B,GW,2012-08-21,2012-09-15,0
1546,F,1135,1133,784:687,B,GW,2012-08-31,2012-09-26,0
1554,M,1018,1015,686:791,B,WG,2012-08-29,2012-09-21,1
1561,M,1018,1015,686:791,B,WG,2012-08-29,2012-09-21,1
1569,M,1096,1097,686:791,B,WG,2012-08-29,2012-09-21,1
1573,F,1011,1083,784:687,B,GW,2012-09-07,2012-09-29,0
1581,F,1145,1150,686:791,B,WG,2012-09-07,2012-10-03,1
1589,M,1146,1144,686:791,B,WG,2012-09-07,2012-10-03,1
1596,F,1084,1081,784:687,B,GW,2012-09-08,2012-10-04,0
1514,F,1147,1148,686:791,B,WG,2012-08-17,2012-09-12,1
1522,M,1084,1081,784:687,B,GW,2012-08-17,2012-09-08,0
1531,M,1061,1063,686:791,B,WG,2012-08-21,2012-09-14,1
1539,F,1082,1080,784:687,B,GW,2012-08-21,2012-09-15,0
1547,F,1135,1133,784:687,B,GW,2012-08-31,2012-09-26,0
1555,M,1018,1015,686:791,B,WG,2012-08-29,2012-09-21,1
1562,M,1018,1015,686:791,B,WG,2012-08-29,2012-09-21,1
1570,M,1096,1097,686:791,B,WG,2012-08-29,2012-09-21,1
1574,M,1011,1083,784:687,B,GW,2012-09-07,2012-09-29,0
1582,M,1145,1150,686:791,B,WG,2012-09-07,2012-10-03,1
1590,M,1146,1144,686:791,B,WG,2012-09-07,2012-10-03,1
1597,F,1084,1081,784:687,B,GW,2012-09-08,2012-10-04,0
1515,F,1147,1148,686:791,B,WG,2012-08-17,2012-09-12,1
1523,M,1084,1081,784:687,B,GW,2012-08-17,2012-09-08,0
1532,M,1061,1063,686:791,B,WG,2012-08-21,2012-09-14,1
1540,F,1082,1080,784:687,B,GW,2012-08-21,2012-09-15,0
1548,M,1135,1133,784:687,B,GW,2012-08-31,2012-09-26,0
1556,M,1018,1015,686:791,B,WG,2012-08-29,2012-09-21,1
1563,M,1018,1015,686:791,B,WG,2012-08-29,2012-09-21,1
1985,F,669,739,526:554,A,WG,2012-09-05,2012-10-03,1
1583,M,1145,1150,686:791,B,WG,2012-09-07,2012-10-03,1
1591,M,1062,1059,686:791,B,WG,2012-09-05,2012-09-26,1
1598,F,1084,1081,784:687,B,GW,2012-09-08,2012-10-04,0
1516,F,1147,1148,686:791,B,WG,2012-08-17,2012-09-12,1
1524,F,1084,1081,784:687,B,GW,2012-08-17,2012-09-08,0
1533,F,1061,1063,686:791,B,WG,2012-08-21,2012-09-14,1
1541,F,1082,1080,784:687,B,GW,2012-08-21,2012-09-15,0
1549,M,1135,1133,784:687,B,GW,2012-08-31,2012-09-26,0
1557,M,1018,1015,686:791,B,WG,2012-08-29,2012-09-21,1
1564,F,1018,1015,686:791,B,WG,2012-08-29,2012-09-21,1
1986,M,669,739,526:554,A,WG,2012-09-05,2012-10-03,1
1576,M,1011,1083,784:687,B,GW,2012-09-07,2012-09-29,0
1584,F,1145,1150,686:791,B,WG,2012-09-07,2012-10-03,1
1592,M,1062,1059,686:791,B,WG,2012-09-05,2012-09-26,1
1599,F,1084,1081,784:687,B,GW,2012-09-08,2012-10-04,0
1517,M,1147,1148,686:791,B,WG,2012-08-17,2012-09-12,1
1526,F,1061,1063,686:791,B,WG,2012-08-21,2012-09-14,1
1534,M,1061,1063,686:791,B,WG,2012-08-21,2012-09-14,1
1542,M,1135,1133,784:687,B,GW,2012-08-31,2012-09-26,0
1550,M,1132,1131,784:687,B,GW,2012-09-01,2012-09-25,0
1558,M,1018,1015,686:791,B,WG,2012-08-29,2012-09-21,1
1565,F,1096,1097,686:791,B,WG,2012-08-29,2012-09-21,1
1987,M,669,739,526:554,A,WG,2012-09-05,2012-10-03,1
1577,M,1011,1083,784:687,B,GW,2012-09-07,2012-09-29,0
1585,M,1146,1144,686:791,B,WG,2012-09-07,2012-10-03,1
1593,M,1062,1059,686:791,B,WG,2012-09-05,2012-09-26,1
1611,M,1009,1012,784:687,B,GW,2012-09-09,2012-10-06,0
1607,M,1017,1060,686:791,B,WG,2012-09-08,2012-10-06,1
1615,M,1009,1012,784:687,B,GW,2012-09-09,2012-10-06,0
1623,M,1149,1151,686:791,B,WG,2012-09-10,2012-10-06,1
1631,F,1147,1148,686:791,B,WG,2012-09-12,2012-10-08,1
1637,M,1061,1063,686:791,B,WG,2012-09-14,2012-10-10,1
1645,M,1082,1080,784:687,B,GW,2012-09-14,2012-10-08,0
1653,M,1096,1097,686:791,B,WG,2012-09-21,2012-10-16,1
1661,M,1018,1015,686:791,B,WG,2012-09-21,2012-10-13,1
1677,M,1010,1130,784:687,B,GW,2012-09-24,2012-10-22,0
1685,F,1135,1133,784:687,B,GW,2012-09-25,2012-10-17,0
1601,F,1084,1081,784:687,B,GW,2012-09-08,2012-10-04,0
1608,M,1017,1060,686:791,B,WG,2012-09-08,2012-10-06,1
1616,F,1009,1012,784:687,B,GW,2012-09-09,2012-10-06,0
1624,M,1149,1151,686:791,B,WG,2012-09-10,2012-10-06,1
1632,M,1147,1148,686:791,B,WG,2012-09-12,2012-10-08,1
1638,F,1061,1063,686:791,B,WG,2012-09-14,2012-10-10,1
1646,F,1082,1080,784:687,B,GW,2012-09-14,2012-10-08,0
1654,F,1096,1097,686:791,B,WG,2012-09-21,2012-10-16,1
1662,F,1018,1015,686:791,B,WG,2012-09-21,2012-10-13,1
1670,F,1132,1131,784:687,B,GW,2012-09-22,2012-10-18,0
1678,M,1135,1133,784:687,B,GW,2012-09-25,2012-10-17,0
1686,M,1062,1059,686:791,B,WG,2012-09-26,2012-10-17,1
1602,F,1084,1081,784:687,B,GW,2012-09-08,2012-10-04,0
1609,M,1017,1060,686:791,B,WG,2012-09-08,2012-10-06,1
1617,F,1016,1013,686:791,B,WG,2012-09-09,2012-10-03,1
1625,F,1149,1151,686:791,B,WG,2012-09-10,2012-10-06,1
1633,F,1147,1148,686:791,B,WG,2012-09-12,2012-10-08,1
1639,M,1061,1063,686:791,B,WG,2012-09-14,2012-10-10,1
1647,M,1082,1080,784:687,B,GW,2012-09-14,2012-10-08,0
1663,M,1018,1015,686:791,B,WG,2012-09-21,2012-10-13,1
1671,F,1132,1131,784:687,B,GW,2012-09-22,2012-10-18,0
1679,F,1135,1133,784:687,B,GW,2012-09-25,2012-10-17,0
1687,M,1062,1059,686:791,B,WG,2012-09-26,2012-10-17,1
1610,M,1017,1060,686:791,B,WG,2012-09-08,2012-10-06,1
1618,F,1016,1013,686:791,B,WG,2012-09-09,2012-10-03,1
1626,F,1149,1151,686:791,B,WG,2012-09-10,2012-10-06,1
1634,F,1147,1148,686:791,B,WG,2012-09-12,2012-10-08,1
1640,M,1061,1063,686:791,B,WG,2012-09-14,2012-10-10,1
1648,M,1082,1080,784:687,B,GW,2012-09-14,2012-10-08,0
1656,M,1096,1097,686:791,B,WG,2012-09-21,2012-10-16,1
1664,M,1018,1015,686:791,B,WG,2012-09-21,2012-10-13,1
1672,F,1132,1131,784:687,B,GW,2012-09-22,2012-10-18,0
1680,F,1135,1133,784:687,B,GW,2012-09-25,2012-10-17,0
1688,F,1062,1059,686:791,B,WG,2012-09-26,2012-10-17,1
1603,F,1084,1081,784:687,B,GW,2012-09-08,2012-10-04,0
1600,M,1084,1081,784:687,B,GW,2012-09-08,2012-10-04,0
1619,M,1016,1013,686:791,B,WG,2012-09-09,2012-10-03,1
1627,M,1149,1151,686:791,B,WG,2012-09-10,2012-10-06,1
1641,M,1061,1063,686:791,B,WG,2012-09-14,2012-10-10,1
1649,F,1082,1080,784:687,B,GW,2012-09-14,2012-10-08,0
1657,M,1096,1097,686:791,B,WG,2012-09-21,2012-10-16,1
1665,F,1018,1015,686:791,B,WG,2012-09-21,2012-10-13,1
1673,F,1132,1131,784:687,B,GW,2012-09-22,2012-10-18,0
1689,M,1062,1059,686:791,B,WG,2012-09-26,2012-10-17,1
1604,M,1084,1081,784:687,B,GW,2012-09-08,2012-10-04,0
1612,F,1009,1012,784:687,B,GW,2012-09-09,2012-10-06,0
1628,F,1149,1151,686:791,B,WG,2012-09-10,2012-10-06,1
1642,M,1061,1063,686:791,B,WG,2012-09-14,2012-10-10,1
1650,F,1082,1080,784:687,B,GW,2012-09-14,2012-10-08,0
1658,F,1018,1015,686:791,B,WG,2012-09-21,2012-10-13,1
1666,F,1132,1131,784:687,B,GW,2012-09-22,2012-10-18,0
1674,M,1010,1130,784:687,B,GW,2012-09-24,2012-10-22,0
1682,F,1135,1133,784:687,B,GW,2012-09-25,2012-10-17,0
1690,M,1062,1059,686:791,B,WG,2012-09-26,2012-10-17,1
1605,F,1084,1081,784:687,B,GW,2012-09-08,2012-10-04,0
1613,F,1009,1012,784:687,B,GW,2012-09-09,2012-10-06,0
1621,F,1016,1013,686:791,B,WG,2012-09-09,2012-10-03,1
1629,M,1098,1099,686:791,B,WG,2012-09-11,2012-10-03,1
1643,F,1082,1080,784:687,B,GW,2012-09-14,2012-10-08,0
1651,F,1096,1097,686:791,B,WG,2012-09-21,2012-10-16,1
1659,M,1018,1015,686:791,B,WG,2012-09-21,2012-10-13,1
1667,M,1132,1131,784:687,B,GW,2012-09-22,2012-10-18,0
1675,M,1010,1130,784:687,B,GW,2012-09-24,2012-10-22,0
1683,F,1135,1133,784:687,B,GW,2012-09-25,2012-10-17,0
1691,F,1062,1059,686:791,B,WG,2012-09-26,2012-10-17,1
1606,M,1017,1060,686:791,B,WG,2012-09-08,2012-10-06,1
1614,F,1009,1012,784:687,B,GW,2012-09-09,2012-10-06,0
1622,M,1016,1013,686:791,B,WG,2012-09-09,2012-10-03,1
1630,M,1147,1148,686:791,B,WG,2012-09-12,2012-10-08,1
1636,M,1061,1063,686:791,B,WG,2012-09-14,2012-10-10,1
1644,F,1082,1080,784:687,B,GW,2012-09-14,2012-10-08,0
1652,F,1096,1097,686:791,B,WG,2012-09-21,2012-10-16,1
1660,F,1018,1015,686:791,B,WG,2012-09-21,2012-10-13,1
1668,F,1132,1131,784:687,B,GW,2012-09-22,2012-10-18,0
1676,M,1010,1130,784:687,B,GW,2012-09-24,2012-10-22,0
1684,F,1135,1133,784:687,B,GW,2012-09-25,2012-10-17,0
1702,M,1016,1013,686:791,B,WG,2012-10-02,2012-10-30,1
1700,M,1011,1083,784:687,B,GW,2012-09-29,2012-10-24,0
1707,F,1098,1099,686:791,B,WG,2012-10-02,2012-10-28,1
1715,F,1145,1150,686:791,B,WG,2012-10-02,2012-10-30,1
1723,F,1146,1144,686:791,B,WG,2012-10-02,2012-10-27,1
1731,M,1222,1129,784:687,B,GW,2012-10-02,2012-10-30,0
1738,F,1223,1130,784:687,B,GW,2012-10-03,2012-10-30,0
1746,F,1084,1081,784:687,B,GW,2012-10-03,2012-10-26,0
1754,M,1224,1225,784:687,B,GW,2012-10-05,2012-10-30,0
1762,M,1149,1151,686:791,B,WG,2012-10-05,2012-11-02,1
1770,M,1009,1012,784:687,B,GW,2012-10-06,2012-11-03,0
1778,M,1082,1080,784:687,B,GW,2012-10-07,2012-10-31,0
1693,F,1062,1059,686:791,B,WG,2012-09-26,2012-10-17,1
1701,F,1016,1013,686:791,B,WG,2012-10-02,2012-10-30,1
1708,F,1098,1099,686:791,B,WG,2012-10-02,2012-10-28,1
1716,F,1145,1150,686:791,B,WG,2012-10-02,2012-10-30,1
1724,F,1146,1144,686:791,B,WG,2012-10-02,2012-10-27,1
1739,M,1223,1130,784:687,B,GW,2012-10-03,2012-10-30,0
1747,M,1084,1081,784:687,B,GW,2012-10-03,2012-10-26,0
1763,M,1149,1151,686:791,B,WG,2012-10-05,2012-11-02,1
1771,M,1009,1012,784:687,B,GW,2012-10-06,2012-11-03,0
1779,F,1082,1080,784:687,B,GW,2012-10-07,2012-10-31,0
1694,M,1011,1083,784:687,B,GW,2012-09-29,2012-10-24,0
1709,M,1098,1099,686:791,B,WG,2012-10-02,2012-10-28,1
1717,M,1145,1150,686:791,B,WG,2012-10-02,2012-10-30,1
1725,F,1146,1144,686:791,B,WG,2012-10-02,2012-10-27,1
1740,F,1223,1130,784:687,B,GW,2012-10-03,2012-10-30,0
1748,F,1084,1081,784:687,B,GW,2012-10-03,2012-10-26,0
1756,M,1224,1225,784:687,B,GW,2012-10-05,2012-10-30,0
1764,M,1149,1151,686:791,B,WG,2012-10-05,2012-11-02,1
1772,F,1009,1012,784:687,B,GW,2012-10-06,2012-11-03,0
1780,M,1082,1080,784:687,B,GW,2012-10-07,2012-10-31,0
1695,F,1011,1083,784:687,B,GW,2012-09-29,2012-10-24,0
1692,M,1062,1059,686:791,B,WG,2012-09-26,2012-10-17,1
1710,F,1098,1099,686:791,B,WG,2012-10-02,2012-10-28,1
1718,M,1145,1150,686:791,B,WG,2012-10-02,2012-10-30,1
1726,F,1146,1144,686:791,B,WG,2012-10-02,2012-10-27,1
1733,F,1222,1129,784:687,B,GW,2012-10-02,2012-10-30,0
1741,F,1223,1130,784:687,B,GW,2012-10-03,2012-10-30,0
1749,F,1084,1081,784:687,B,GW,2012-10-03,2012-10-26,0
1757,M,1149,1151,686:791,B,WG,2012-10-05,2012-11-02,1
1765,M,1149,1151,686:791,B,WG,2012-10-05,2012-11-02,1
1773,M,1009,1012,784:687,B,GW,2012-10-06,2012-11-03,0
1781,F,1082,1080,784:687,B,GW,2012-10-07,2012-10-31,0
1696,M,1011,1083,784:687,B,GW,2012-09-29,2012-10-24,0
1703,F,1016,1013,686:791,B,WG,2012-10-02,2012-10-30,1
1711,F,1098,1099,686:791,B,WG,2012-10-02,2012-10-28,1
1719,F,1145,1150,686:791,B,WG,2012-10-02,2012-10-30,1
1727,M,1222,1129,784:687,B,GW,2012-10-02,2012-10-30,0
1734,M,1223,1130,784:687,B,GW,2012-10-03,2012-10-30,0
1742,M,1223,1130,784:687,B,GW,2012-10-03,2012-10-30,0
1750,M,1224,1225,784:687,B,GW,2012-10-05,2012-10-30,0
1758,F,1149,1151,686:791,B,WG,2012-10-05,2012-11-02,1
1766,M,1009,1012,784:687,B,GW,2012-10-06,2012-11-03,0
1774,F,1082,1080,784:687,B,GW,2012-10-07,2012-10-31,0
1782,M,1147,1148,686:791,B,WG,2012-10-08,2012-11-03,1
1697,F,1011,1083,784:687,B,GW,2012-09-29,2012-10-24,0
1704,M,1016,1013,686:791,B,WG,2012-10-02,2012-10-30,1
1712,M,1098,1099,686:791,B,WG,2012-10-02,2012-10-28,1
1720,M,1146,1144,686:791,B,WG,2012-10-02,2012-10-27,1
1728,F,1222,1129,784:687,B,GW,2012-10-02,2012-10-30,0
1735,F,1223,1130,784:687,B,GW,2012-10-03,2012-10-30,0
1743,M,1084,1081,784:687,B,GW,2012-10-03,2012-10-26,0
1751,F,1224,1225,784:687,B,GW,2012-10-05,2012-10-30,0
1759,M,1149,1151,686:791,B,WG,2012-10-05,2012-11-02,1
1767,F,1009,1012,784:687,B,GW,2012-10-06,2012-11-03,0
1775,F,1082,1080,784:687,B,GW,2012-10-07,2012-10-31,0
1783,M,1147,1148,686:791,B,WG,2012-10-08,2012-11-03,1
1698,F,1011,1083,784:687,B,GW,2012-09-29,2012-10-24,0
1705,M,1098,1099,686:791,B,WG,2012-10-02,2012-10-28,1
1713,F,1145,1150,686:791,B,WG,2012-10-02,2012-10-30,1
1721,F,1146,1144,686:791,B,WG,2012-10-02,2012-10-27,1
1729,F,1222,1129,784:687,B,GW,2012-10-02,2012-10-30,0
1744,F,1084,1081,784:687,B,GW,2012-10-03,2012-10-26,0
1752,M,1224,1225,784:687,B,GW,2012-10-05,2012-10-30,0
1760,M,1149,1151,686:791,B,WG,2012-10-05,2012-11-02,1
1768,F,1009,1012,784:687,B,GW,2012-10-06,2012-11-03,0
1776,M,1082,1080,784:687,B,GW,2012-10-07,2012-10-31,0
1784,F,1147,1148,686:791,B,WG,2012-10-08,2012-11-03,1
1706,M,1098,1099,686:791,B,WG,2012-10-02,2012-10-28,1
1714,M,1145,1150,686:791,B,WG,2012-10-02,2012-10-30,1
1722,F,1146,1144,686:791,B,WG,2012-10-02,2012-10-27,1
1730,F,1222,1129,784:687,B,GW,2012-10-02,2012-10-30,0
1737,F,1223,1130,784:687,B,GW,2012-10-03,2012-10-30,0
1745,M,1084,1081,784:687,B,GW,2012-10-03,2012-10-26,0
1753,M,1224,1225,784:687,B,GW,2012-10-05,2012-10-30,0
1761,M,1149,1151,686:791,B,WG,2012-10-05,2012-11-02,1
1777,F,1082,1080,784:687,B,GW,2012-10-07,2012-10-31,0
1794,M,1061,1063,686:791,B,WG,2012-10-08,2012-11-03,1
1793,F,1014,1013,686:791,B,WG,2012-10-08,2012-10-27,1
1801,F,1061,1063,686:791,B,WG,2012-10-08,2012-11-03,1
1808,M,1018,1015,686:791,B,WG,2012-10-13,2012-11-10,1
1823,F,669,739,526:554,A,WG,2012-10-16,2012-11-13,1
1831,F,1135,1133,784:687,B,GW,2012-10-16,2012-11-07,0
1839,M,1062,1059,686:791,B,WG,2012-10-17,2012-11-10,1
1847,M,1011,1012,784:687,B,GW,2012-10-23,2012-11-17,0
1856,M,1084,1081,784:687,B,GW,2012-10-25,2012-11-17,0
1992,M,1014,1013,686:791,B,WG,2012-10-27,2012-11-19,1
2000,F,1146,1144,686:791,B,WG,2012-10-27,2012-11-24,1
1786,F,1147,1148,686:791,B,WG,2012-10-08,2012-11-03,1
1785,F,1147,1148,686:791,B,WG,2012-10-08,2012-11-03,1
1802,F,652,624,526:554,A,WG,2012-10-09,2012-11-06,1
1809,M,1018,1015,686:791,B,WG,2012-10-13,2012-11-10,1
1824,M,1135,1133,784:687,B,GW,2012-10-16,2012-11-07,0
1832,M,1062,1059,686:791,B,WG,2012-10-17,2012-11-10,1
1840,M,1062,1059,686:791,B,WG,2012-10-17,2012-11-10,1
1848,M,1011,1012,784:687,B,GW,2012-10-23,2012-11-17,0
1857,M,1084,1081,784:687,B,GW,2012-10-25,2012-11-17,0
1993,F,1014,1013,686:791,B,WG,2012-10-27,2012-11-19,1
2001,M,1146,1144,686:791,B,WG,2012-10-27,2012-11-24,1
1787,M,1147,1148,686:791,B,WG,2012-10-08,2012-11-03,1
1795,M,1061,1063,686:791,B,WG,2012-10-08,2012-11-03,1
1803,M,652,624,526:554,A,WG,2012-10-09,2012-11-06,1
1810,M,1018,1015,686:791,B,WG,2012-10-13,2012-11-10,1
1817,F,1096,1097,686:791,B,WG,2012-10-15,2012-11-12,1
1825,F,1135,1133,784:687,B,GW,2012-10-16,2012-11-07,0
