# Phenotype covariates (metadata) for BXD phenotype data
# nrow 5806
# ncol 2
id,description
10030,Central nervous system; pharmacology; nociception: Naloxone ([3H]-naloxone) Bmax concentration (binding maximum) [pM/mg]
10031,Morphology: Body weight of adult males [g]
10032,Central nervous system; morphology: Brain weight in young adult males [mg]
10033,Central nervous system; morphology: Brain to body weight ratio [ratio]
10034,Infectious disease; immune system: Salmonella typhimurium bacterial strain LT2-Z growth from livers and spleens 6 days post inoculation with 10^2 CFU (figure 3; filled circles) [log10 CFU]
10035,Infectious disease; immune system: Salmonella typhimurium bacterial strain WB500 from livers and spleens 6 days post inoculation with 10^2 CFU (figure 3 open circles) [log10 CFU]
10036,Infectious disease; immune system: Salmonella typhimurium bacterial strain SR-11; net growth in livers and spleens 6 days after inoculation with 10^2 CFU (figure 5; triangles; Itk/Nramp1/Slc11a1-associated) [log10 CFU]
10037,Central nervous system; behavior: Locomotor activity in a novel environment (Day 1) in young adult males over a 5 min trial (Digiscan 16-beam automated activity monitor) [cm]
10038,Central nervous system; behavior: Habituation measured as difference in locomotor activity between day 1 and day 3 in young adult males over a 5 min test trial (Digiscan 16-beam automated activity monitor) [cm]
10040,Central nervous system; pharmacology; behavior: Ethanol response; blood ethanol concentration (BEC) at recovery of righting reflex (retro-orbital sinus sample) [mg/ml]
10041,Central nervous system; pharmacology; behavior: Ethanol response (2.5 g/kg ip); duration of loss of righting reflex [minutes]
10042,Central nervous system; pharmacology; behavior: Ethanol response (2.5 g/kg ip); ataxia; screen test sensitivity measured as the latency to fall; saline response minus ethanol response [seconds]
10043,Infectious disease; immune system: Ectromelia virus-induced mortality in males [3 = resistant; 2 = intermediate; 1 = susceptible; table 1 column 1; ordinal scale]
10044,Infectious disease; immune system: Ectromelia virus-induced mortality [3 = resistant;  1 = both intermediate and  susceptible; ordinal scale]
10045,Metabolism: Body temperature (baseline control for quinpirole study) [degrees C]
10046,Central nervous system; pharmacology; behavior: Quinpirole dopaminergic D2 and D3 receptor response (1 mg/kg ip); hypothermia 60 min after injection on day 1 measured as change from baseline temperature [degrees C]
10047,Central nervous system; pharmacology; behavior: Quinpirole dopaminergic D2 and D3 receptor response (1 mg/kg ip); hypothermia tolerance; day 2 compared to day 1 [degrees C]
10048,Central nervous system; pharmacology; behavior: Quinpirole dopaminergic D2 and D3 receptor response (1 mg/kg ip); hypothermia tolerance; day 3 compared to day 1 [degrees C]
10049,Central nervous system; behavior: Saline response (ip injection); locomotor activation (control for quinpirole study) [cm]
10050,Central nervous system; pharmacology; behavior: Quinpirole dopaminergic D2 and D3 receptor response (0.01 mg/kg ip); locomotion change relative to baseline [cm]
10051,Central nervous system; pharmacology; behavior: Quinpirole dopaminergic D2 and D3 receptor response (0.03 mg/kg ip); locomotion change relative to baseline [cm]
10052,Central nervous system; pharmacology; behavior: Quinpirole dopaminergic D2 and D3 receptor response (0.03 mg/kg ip); vertical activity (rears) change relative to baseline [n beam breaks]
10053,Central nervous system; pharmacology; behavior: Quinpirole dopaminergic D2 and D3 receptor response (0.01 mg/kg ip); vertical activity (rears) change relative to baseline [n beam breaks]
10054,Central nervous system; behavior: Saline baseline response (ip; control for quinpirole study); vertical activity (rears; beam breaks) after injection [n]
10055,Central nervous system; pharmacology; behavior: Ethanol withdrawal handling induced convulsions (HIC); 2-12 hours after 4 g/kg 20% v/v ethanol injection (ip); area under curve  [HIC AUC]
10056,Immune system; development: Hematopoietic stem cell pool size; cobblestone area-forming cells per 100;000 bone marrow cells [n]
10057,Immune system: T-cell anergy induced by Bacillus Calmette–Guérin tuberculosis vaccine (BCG); delayed type hypersensitivity in footpad increments [mm]
10058,Immune system; cardiovascular system: Peripheral blood lymphocytes; percentage of B cells [B220 %]
10059,Immune system; cardiovascular system: Peripheral blood lymphocytes; percentage of CD4+ T cells [%]
10060,Immune system; cardiovascular system: Peripheral blood lymphocytes; percentage of CD8+ T cells [%]
10061,Immune system;  pulmonary system: Polymorphonuclear leukocyte number (PMN) after aerosolized LPS exposure [PMN/ml (x103)]
10062,Immune system;  pulmonary system: Tumor necrosis factor (TNF)-alpha level in lung after aerosolized lipopolysaccharide (LPS) exposure [pg/ml]
10063,Central nervous system; pharmacology; behavior: Ethanol response; withdrawal-associated handling-induced convulsions (HIC) after a 72 hr exposure to ethanol vapor (with Pyrazole injections to inhibit EtOH metabolism) (0=no effect; 1=facial grimace during tail spin; 2=tonic convulsion during spin; 3=tonic-clonic convulsion during spin; 4= tonic convulsion on lift only; 5=tonic-clonic on lift only) [seizure severity score area-under-25-hr curve]
10064,Central nervous system; pharmacology; behavior: Ethanol response; area under the 25-hr curve for withdrawal following 72 hr exposure to air. Pyrazole injections were given daily to inhibit EtOH metabolism. Handling-induced convulsions (HIC) were scored hourly for 10 hr and again at hrs 24 and 25 [seizure severity]
10065,Central nervous system; pharmacology; behavior: Ethanol response (1.5 g/kg ip loading dose and 68.1 mg/kg pyrazole); chronic withdrawal; handling-induced convulsion score (HIC) corrected for response to pyrazole alone (difference between strain mean values for AREA25 and PYRAREA25) (0=no effect; 1=facial grimace during tail spin; 2=tonic convulsion during spin; 3=tonic-clonic convulsion during spin; 4= tonic convulsion on lift only; 5=tonic-clonic on lift only)  [seizure severity]
10066,Central nervous system; pharmacology; behavior: Ethanol response (1.5 g/kg); blood ethanol concentration (BEC) normalization data set (BEC was stabilized to ~1.5 mg EtOH/ml blood using daily pyrazole injections) [mg/ml]
10067,Central nervous system; pharmacology; metabolism: Ethanol response (2 g/kg ip); hypothermia at 30 and 60 min after injection [degrees C]
10068,Central nervous system; pharmacology; metabolism: Ethanol response (3 g/kg ip); hypothermia at 30 and 60 min after injection [degrees C]
10069,Central nervous system; pharmacology; metabolism: Ethanol response (4 g/kg ip); hypothermia at 30 and 60 min after injection [degrees C]
10070,Central nervous system; pharmacology; metabolism: Ethanol response (2 g/kg ip); hypothermia after injection [degrees C]
10071,Central nervous system; pharmacology; metabolism: Ethanol response (3 g/kg ip); hypothermia after injection [degrees C]
10072,Central nervous system; pharmacology; metabolism: Ethanol response (4 g/kg ip); hypothermia after injection [degrees C]
10073,Central nervous system; pharmacology; behavior: Ethanol response (10% v/v in water); acceptance of ethanol under thirst motivation in a single-bottle (no choice) test following 24 hr water deprivation; total 24 hr ethanol intake relative to previous water intake in 20-24 week-old males [ratio]
10074,Central nervous system; pharmacology; behavior: Ethanol response (10% v/v in water); acceptance of ethanol under thirst motivation in a single-bottle (no choice) test following 24 hr water deprivation; total 24 hr ethanol intake in 20-24 week-old males [g/kg]
10075,Central nervous system; pharmacology; behavior: Saline response (saline injection ip); open field activity in 20-24 week-old males (control for ethanol trait 10077) [beam crossings]
10076,Central nervous system; pharmacology; behavior: Ethanol response (2.5 g/kg ip); distance run in the grid test; 10-12 min after injection in 20-24 week-old males [n beam crossings]
10077,Central nervous system; pharmacology; behavior: Ethanol response (1.33 g/kg ip); open field activity in 20-24 week-old males tested under dim light; 10-13 min after injection of saline (day 1) and ethanol (day 2); difference in number of beam crossings relative to saline control injection [n]
10080,Central nervous system; pharmacology; behavior: Ethanol response (3 day exposure to 8-11 g/kg ethanol in vapor chamber with pyrazole 1 mM/kg/day); handling-induced convulsion (HIC) withdrawal severity score (15x 1 hour measurements) in 24-28 week-old males; second experimental replication (Table 4) [HIC area under curve]
10082,Central nervous system; pharmacology; metabolism: Ethanol response (4 g/kg ip); hypothermia tolerance (positive scores) or sensitization (negative scores); day 3 minus day 1; in young adult females (50 to 123 days) [degrees C]
10083,Central nervous system; pharmacology; metabolism: Ethanol response (3 g/kg ip); hypothermia tolerance (positive scores) or sensitization (negative scores); day 3 minus day 1; in young adult females (50 to 123 days) [degrees C]
10084,Central nervous system; pharmacology; metabolism: Ethanol response (2 g/kg); hypothermia tolerance (positive scores) or sensitization (negative scores); day 3 minus day 1; in young adult females (50 to 123 days) [degrees C]
10085,Central nervous system; pharmacology; metabolism: Ethanol response (4 g/kg ip); hypothermia in young adult females (50 to 123 days) relative to baseline rectal body temperature (positive scores = hypothermia) [degrees C]
10086,Central nervous system; pharmacology; metabolism: Ethanol response (3 g/kg ip); hypothermia in young adult females (50 to 123 days) relative to baseline rectal body temperature (positive scores = hypothermia) [degrees C]
10087,Central nervous system; pharmacology; metabolism: Ethanol response (2 g/kg ip); hypothermia in young adult females (50 to 123 days) relative to baseline rectal body temperature (positive scores = hypothermia) [degrees C]
10088,Central nervous system; pharmacology; behavior: Ethanol response (2 g/kg ip); acute difference in locomotion between experimental ethanol-condidtioned and saline control group of males [activity counts/min]
10089,Central nervous system; pharmacology; behavior: Ethanol response (2 g/kg ip); locomotor tolerance or sensitization in males; difference between activity after fourth ethanol trial and first trial [cm]
10090,Central nervous system; pharmacology; behavior: Ethanol response (2 g/kg ip); conditioned place preference (CPP) for the ethanol-paired grid compartment in males in the experimental group over a 30 min trial test [% time]
10091,Central nervous system; pharmacology; behavior: Saline control response (vehicle ip) of ethanol-treated (2 mg/kg ip) males; locomotion 1-5 min after saline injection; trial 4 (experimental group; prior ethanol exposure) [activity counts per min]
10092,Central nervous system; pharmacology; behavior: Ethanol response (2 g/kg ip); locomotion from 1-5 min after injection; conditioning trial 1 in males [activity counts per min]
10093,Central nervous system; behavior: Floor preference baseline; time on grid textured floor for experimental group of males [sec/min]
10094,Central nervous system; pharmacology; behavior: Locomotion from 1-5 min after a single saline i.p. injection for the control group of males [activity/min]
10095,Central nervous system; pharmacology; behavior: Saline control response (vehicle; ip); locomotion of control group from 1-5 min after injection on trial 1 [activity/min]
10096,Central nervous system; pharmacology; behavior: Locomotion from 1-5 min after a saline injection for the control group of males on trial 4 [activity/min]
10097,Central nervous system; pharmacology; behavior: Ethanol response (2 g/kg ip); conditioned place preference (CPP) for the ethanol-paired grid compartment in experimental group males [s/min]
10098,Central nervous system; pharmacology; behavior: Ethanol response (2 g/kg ip); conditioned place preference (CPP) for the ethanol-paired hole floor in experimental group males [s/min]
10099,Central nervous system; behavior: Saline control response (vehicle ip); habituation; locomotion from 1-5 min after a single saline injection for the experimental group of males [activity/min]
10100,Central nervous system; pharmacology; behavior: Locomotion from 1-5 min after a single saline ip injection of saline vehicle for the experimental group on trial 1 [activity counts per min]
10101,Central nervous system; behavior: Floor preference baseline; intrinsic preference for the grid-textured floor for the control group of males [s/min]
10102,Central nervous system; pharmacology; behavior: Ethanol response (2 g/kg ip); locomotion from 1-5 min after injection; conditioning trial 4 in males [activity counts per min]
10103,Central nervous system; behavior: Floor preference baseline; intrinsic preference for the grid-textured floor for the control group of males [s/min]
10104,Central nervous system; pharmacology; behavior: Ethanol response (2 g/kg ip); locomotor tolerance or sensitization in males; difference between experimental group (two prior exposures to ethanol) and saline control group on fourth conditioning day [activity counts/min]
10105,Central nervous system; pharmacology; behavior: Saline control response (0.9% ip); activity habituation in males [4th saline injection trial activity minus first saline activity trial activity]
10106,Central nervous system; morphology: Striatum cholinergic neurons; section 11 [n/section]
10107,Central nervous system; morphology: Striatum cholinergic neurons section 14 [n/section]
10108,Central nervous system; morphology: Striatum cholinergic neurons in section 17 [n/section]
10109,Central nervous system; morphology: Striatum cholinergic neurons section 20 [n/section]
10110,Central nervous system; morphology: Striatum cholinergic neurons section 22 [n/section]
10111,Central nervous system; morphology: Striatum cholinergic neurons section 24 [n/section]
10112,Aging: Life span; longevity of females (RWW winsorized outliers BXD2; BXD14; and DBA2J from 400; 500; and 175 days; respectively; data originally from Gelman et al. 1988; except parental strains) [days]
10113,Immune system; aging: Proliferative activity of hematopoietic stem cells; quiescent stem cells in aged mice; cobblestone area forming cells (CAFC) at day 35 in culture; frequency in bone marrow [CAFC per 10e5 bone marrow cells]
10114,Immune system; aging: Proliferative activity of hematopoietic stem cells; quiescent HSCs in aged mice; cobblestone area forming cells (CAFC) on day 35; frequency in bone marrow [CAFC per 10e5 bone marrow cells]
10115,Immune system; aging: Stem cell cycling; change in day 7 cobblestone area forming cell (CAFC) frequency during aging [%CAFC]
10116,Immune system; aging: Proliferative activity of hematopoietic stem cells; day 21 cobblestone area forming cell (CAFC) frequency change [% CAFC]
10117,Immune system; aging: Proliferative activity of hematopoietic stem cells; change in quiescent HSC percentage (cobblestone area-forming cells day 35 of culture) at 20 months [% CAFC]
10118,Immune system; aging: Stem cell frequency; cobblestone area-forming cell assay count (CAFC) on day 35 [CAFC per 10e5 bone marrow cells]
10119,Immune system; aging: Proliferative activity of hematopoietic stem cells on day 7 in culture [% CAFC]
10120,Central nervous system; pharmacology; behavior: Chlordiazepoxide response (10 mg/kg ip); acute locomotor activation; distance traveled 0 to 5 min after injection [cm]
10121,Central nervous system; pharmacology; behavior: Chlordiazepoxide response (10 mg/kg ip); acute locomotor activation; distance traveled 5 to 10 min after injection [cm]
10122,Central nervous system; pharmacology; behavior: Chlordiazepoxide response (10 mg/kg ip); acute locomotor activation; distance traveled 10 to 15 min after injection [cm]
10123,Central nervous system; pharmacology; behavior: Chlordiazepoxide response (10 mg/kg ip); acute locomotor activation; distance traveled 15 to 20 min after injection [cm]
10124,Central nervous system; pharmacology; behavior: Chlordiazepoxide response (10 mg/kg ip); acute locomotor activation; distance traveled 5 to 20 min after injection [cm]
10125,Central nervous system; pharmacology; behavior: Ethanol response (1.5 mg/kg ip); acute locomotor activation; distance traveled 0 to 5 min after injection [cm]
10126,Central nervous system; pharmacology; behavior: Ethanol response (1.5 mg/kg ip); acute locomotor activation; distance traveled 5 to 10 min after injection [cm]
10127,Central nervous system; pharmacology; behavior: Ethanol response (1.5 mg/kg ip); acute locomotor activation; distance traveled 10 to 15 min after injection [cm]
10128,Central nervous system; pharmacology; behavior: Ethanol response (1.5 mg/kg ip); acute locomotor activation; distance traveled 15-20 min after injection [cm]
10129,Central nervous system; pharmacology; behavior: Ethanol response (1.5 mg/kg ip); acute locomotor activation; distance traveled 5 to 20 min after injection (C15orf52 is strong candidate gene with nonsense mutation in D) [cm]
10130,Central nervous system; behavior: Saline control response (ip injection); locomotor activity; distance traveled 0 to 5 min after injection [cm]
10131,Central nervous system; behavior: Saline control response (ip injection); locomotor activity; distance traveled 5 to 10 min after injection [cm]
10132,Central nervous system; behavior: Saline control response (ip injection); locomotor activity; distance traveled 10 to 15 min after injection [cm]
10133,Central nervous system; behavior: Saline control response (ip injection); locomotor activity; distance traveled 15 to 20 min after injection [cm]
10134,Central nervous system; behavior: Saline control response (ip injection); locomotor activity; distance traveled 5 to 20 min after injection [cm]
10135,Central nervous system; pharmacology; behavior: Ethanol acceptance (10% in tap water after 24 hr water deprivation); raw mean consumption of adult males (same data as  Rodriguez et al; 1994 with outliers removed and two strains added) [g/kg body weight]
10136,Central nervous system; pharmacology; behavior: Ethanol acceptance (10% in tap water after 24 hr water deprivation) by young adult females (74-91 days; same data as in Rodriguez et al.; 1994 with outliers removed and two strains added) [g/kg]
10137,Central nervous system; pharmacology; behavior: Ethanol acceptance (10% in tap water after 24 hr water deprivation) by young adult males (53-67 days; residual values and same data as Rodriguez et al; 1994 with outliers removed and two strains added) [g/kg]
10138,Central nervous system; pharmacology; behavior: Ethanol acceptance (10% in tap water after 24 hr water deprivation) by young adult females (74-91 day; residuals and same data as in Rodriguez et al; 1994 with outliers removed and two strains added) [g/kg]
10139,Central nervous system; pharmacology; behavior: Ethanol preference (10% in tap water); consumption using two-bottle choice in young adult males (53-67 days; same data as  Rodriguez et al; 1994 with outliers removed and two strains added) [g/kg]
10140,Central nervous system; pharmacology; behavior: Ethanol preference (10% in tap water); consumption using two-bottle choice in young adult females (74-91 days; and same data as Rodriguez et al; 1994 with outliers removed and two strains added) [g/kg]
10141,Central nervous system; pharmacology; behavior: Ethanol preference (10% in tap water); consumption using two-bottle choice in young adult males (53-67 days; residuals and same data as  Rodriguez et al; 1994 with outliers removed and two strains added) [g/kg]
10142,Central nervous system; pharmacology; behavior: Ethanol preference (10% in tap water); consumption using two-bottle choice in young adult females (74-91 days; residuals over a two week test period and same data as Rodriguez et al; 1994 with outliers removed and two strains added) [g/kg]
10143,Central nervous system; circadian rhythm: Sleep need; slow wave sleep delta EEG power after 6 hrs sleep deprivation; 4-6 males per strain at 92 days of age [%]
10144,Central nervous system; pharmacology; behavior: Ethanol response (escalating dose given ip); initial sensitivity measured as the ataxia onset threshold following first of five injections [mg/kg]
10145,Central nervous system; pharmacology; behavior: Ethanol response (escalating dose given ip); maximal threshold to ethanol induced ataxia [mg/ml]
10146,Central nervous system; pharmacology; behavior: Ethanol response (escalating dose given ip); tolerance; difference between ethanol induced ataxia (maximal threshold blood ethanol concentration BEC) minus onset threshold [mg/ml]
10147,Central nervous system; pharmacology; behavior: Ethanol response (escalating dose given ip); tolerance measured as the fold-increase of blood ethanol concentration (BEC) to ethanol-induced ataxia [ratio of tolerance BEC over initial BEC ataxia]
10148,Aging: Life span; longevity of females (mean age) at the Dana-Faber Cancer Institute (Redstone Animal Facility; Boston MA) from Jackson Laboratory between Nov 1982 and Mar 1983 on Purina chow (all data reinstated; authors initially excluded BXD13 due to seizures and BXD31 and BXD32 due to poor marker coverage; BXD13 winsorised to 439) [days]
10149,Liver; metabolism: Hepatic lipid peroxidation (LPO) levels in 2-month-old males [malondialdehyde (MDA)/mg]
10150,Immune system: Thymic T-cell proliferative unresponsiveness (anergy) to anti-CD3-induced proliferation (chemokine-associated) [units]
10164,Central nervous system; behavior: Home cage activity level 10-14 week old males after saline injection [quadrant crossings/min]
10165,Central nervous system; behavior; pharmacology: Methamphetamine response (4 mg/kg ip); locomotor activity difference from saline in 10-14 week males [quadrant crossings/min]
10166,Central nervous system; behavior; pharmacology: Methamphetamine response (8 mg/kg ip); locomotor activity difference from saline in 10-14 week males [quadrant crossings/min]
10167,Central nervous system; behavior; pharmacology: Methamphetamine response  (16 mg/kg ip); locomotor activity difference from saline control in 10-14 week males [quadrant crossings/min]
10168,Central nervous system; behavior; pharmacology: Methamphetamine response (16 mg/kg ip); frequency of sterotyped chewing events 33 min after injection in 10-14 week males [quadrant crossings/min]
10169,Central nervous system; pharmacology; metabolism: Methamphetamine response (4 mg/kg ip); body temperature change 48 min after injection in 10-14 week males [degree C]
10170,Central nervous system; metabolism; pharmacology: Methamphetamine response (8 mg/kg ip); body temperature change 48 min after injection in 10-14 week males [degree C]
10171,Central nervous system; pharmacology; metabolism: Methamphetamine response (16 mg/kg ip); body temperature change 48 min after injection in 10-14 week males [degree C]
10172,Central nervous system; pharmacology: Methamphetamine response (8 mg/kg ip); brain concentration in brain after injection in 10-14 week males [ug/gm]
10173,Central nervous system; behavior; pharmacology: Methamphetamine response (16 mg/kg ip); climbing scores of 10-14 week females 1 hr period after injection; 0=on floor; 1=two paws up; 3=climbing [index]
10174,Central nervous system; pharmacology: Methamphetamine response (4 mg/kg ip); brain concentration after injection in 10-14 week males [ug/gm]
10175,Pharmacology; metabolism: Ethanol response (2 g/kg ip); rate of ethanol clearance [mg/ml/hr]
10176,Pharmacology; metabolism: Ethanol response (3 g/kg ip); rate of clearance; beta [mg/ml/hr]
10177,Pharmacology. metabolism: Ethanol response (2 g/kg ip); blood ethanol concentration (BEC) 60 min after injection [mg/ml]
10178,Pharmacology; metabolism: Ethanol response (3 g/kg ip); blood ethanol concentration (BEC) 60 min after injection [mg/ml]
10179,Cancer biology: Metastasis of implanted breast tumor in lymph node; cases with tumor metastasis [n]
10180,Cancer biology: Metastasis of implanted breast tumor in pancreas; cases with tumor metastasis [n]
10181,Cancer biology: Necrosis of implanted breast tumor [n]
10182,Cancer biology: Syngeneic breast tumor growth; number of cases with tumor metastasis [n]
10183,Cancer biology: Syngeneic breast cancer tumor growth; day 5 [mm3]
10184,Cancer biology: Growth of syngeneic breast cancer tumors day 10 [mm3]
10185,Cancer biology: Growth of syngeneic breast cancer tumors day 15 [mm3]
10186,Cancer biology: Syngeneic breast cancer tumor growth; day 20 [mm3]
10187,Cancer biology: Growth of syngeneic breast cancer tumors day 25 [mm3]
10188,Cancer biology: Syngeneic breast cancer tumor growth at day 30 [mm3]
10189,Cancer biology: Syngeneic breast cancer tumor growth; day 35 [mm3]
10194,Cancer biology: Leukocyte infiltration in metastatic breast tumor on day 12 (0 means no leukocyte infiltration and no destruction of implanted tumor cells and  4 means most severe destruction) [index]
10197,Cancer biology; immune system: T cell infiltration at tumor site in breast cancer cells on day 1 (0 means no leukocyte infiltration and no destruction of implanted tumor cells and 4 means most severe destruction) [index]
10201,Cancer biology: Mixed lymphocyte reaction (MLR) with BALB/c spleen cells [cpm stimulated/cpm unstimulated]
10202,Central nervous system; pharmacology; behavior: Cocaine response (variable dose; iv); dosage required to induce tonic seizure infused via tail vein [mg/kg]
10203,Central nervous system; pharmacology; behavior: Cocaine response (variable dose iv via tail vein); dose required to induce clonic seizure [mg/kg]
10204,Immune system: TRBV4+ T cell levels among CD8+ T cells in spleen [%]
10205,Immune system: TRBV4+ T cell levels among CD8+ T cells in peripheral blood [%]
10206,Immune system: Granulocyte colony stimulating factor (G-CSF) induced progenitor cell mobilization from bone marrow to blood [PB-CFC/ul]
10207,Immune system; hematopoesis; aging: Hematopoietic stem cell and progenitor cell proliferative capacity (Lin-Sca1++ cells from femur bone marrow); in vitro assay of cells from 2-3 month old females in response to KL; flt3L; and TPO (Figure 3A of paper) [n cells]
10208,Immune system; hematopoesis; aging: Hematopoietic stem cells and progenitor cells; numbers of Lin-Sca1++ cells at 2 months of age in females (Figure 3B of paper) [n]
10209,Immune system; hematopoesis; aging: Relative fraction of hematopoietic stem cells and progenitor cells (Lin-Sca1++) from bone marrow in 2-3 month old females (Figure 3C of paper) [%]
10210,Immune system; hematopoesis; aging: Hematopoietic stem cells and progenitor cells in femur bone marrow; percentage of c-kit-postiive cells to c-kit-ngative cells among Lin-Sca1++ cells in 2-month old femaies (Figure 3d of paper) [%]
10211,Immune system; aging: Hematopoietic stem cells and progenitor cells (lin-Sca1++ c-kit+ cells) at 18 months of age taken from femur bone marrow (Fig 2A of paper) [n per well]
10212,Immune system; aging: Percentage of hematopoietic stem cells and progenitor cells in femur bone marrow (lin-Sca1++ c-kit+) at 18 months of age (Figure 2B of paper) [%]
10213,Immune system; aging: Proliferative capacity in vitro of bone marrow stem and progenitor cells (lin-Sca1++ c-kit+ cells) at 18 months of age in response to KL; flt3L and TPO (figure 2C of paper) [n cells]
10214,Immune system; aging: Hematopoietic stem cells and progenitor cells (lin-Sca1++ c-kit+ cells) at 18 months of age taken from femur bone marrow (additional data not included in paper) [n cells total]
10215,Immune system; aging: Hematopoietic stem cell and progenitor cell number (lin-Sca1++ c-kit+ cells) from femur bone marrow of females a 18 months (confirm) (unpublished additional data) [n cells]
10216,Immune system; aging: Proliferative capacity; number of hematopoietic stem cells and progenitor cells (lin-Sca1++ c-kit+ cells) after treatment with transforming growth factor beta 2 (TGFB2; 0.01 ng/ml) at 18 months of age (confirm) (unpublished additional data) [% increase]
10217,Immune system; aging: Proliferative capacity; effect of TGF-beta2 stimulation (0.1 ng/ml) on numbers of lin-Sca1++ c-kit+ cells (unpublished additional data) [% increase]
10218,Immune system; aging: Proliferative capacity change; difference between old (18 months) and young (2 months) on number of hematopoietic stem cells and progenitor cells (lin-Sca1++ c-kit+ cells) after treatment with transforming growth factor beta 2 (TGFB2; 0.1 nl/ml) (unpublished additional data) [cells per well]
10219,Immune system; aging: Percentage of hematopoietic stem cells and progenitor cells (lin-Sca1++ c-kit+ cells) at 18 months of age taken from femur bone marrow  [%]
10220,Central nervous system; pharmacology; protein expression: Dopamine receptor 2 and 3 (DRD2/DRD3) binding maximum (Bmax) in membrane fragments in the dorsal striatum (caudate putamen) of young adult males (125I-epidepride ligand) [fmol/mg wet weight]
10221,Central nervous system; pharmacology; protein expression: Dopamine receptor 2 and 3 (DRD2/DRD3) binding maximum (Bmax) in membrane fragments in the nucleus accumbens core of young adult males (125I-epidepride ligand) [fmol/mg wet weight]
10222,Central nervous system; pharmacology; protein expression: Dopamine receptor 2 and 3 (DRD2/DRD3) binding maximum (Bmax) in membrane fragments in the nucleus accumbens shell of young adult males (125I-epidepride ligand) [fmol/mg wet weight]
10223,Central nervous system; morphology: Tyrosine hydroxylase dopaminergic neurons in ventral tegmental area in young adult males [n/section]
10224,Central nervous system; morphology: Tyrosine hydroxylase dopaminergic neurons in substantia nigra compacta in young adult males [n/section]
10225,Immune system; aging: T-cell proliferative response (age-related decline); concavalin-A induced thymic T-cell response at 22-month-old in females (average of days 2 and 4)[unit]
