# Genetic map for Maize MAGIC from Dell'Acqua et al (2015) doi:10.1186/s13059-015-0716-z
# nrow 41324
# ncol 3
Marker,Chr,cM
SYN35329,1,2.17032351021535
SYN35333,1,2.17195353545337
SYN35328,1,2.17210215179282
SYN35344,1,2.17226334454077
SYN38932,1,2.17665925942336
SYN38934,1,2.17669376786131
SYN38928,1,2.1768178448671
SYNGENTA5822,1,2.17849066056819
SYN38926,1,2.17857440104429
PUT.163a.16926058.1127,1,2.17929984509546
SYN35337,1,2.18998227714792
PZE.101002081,1,2.19378894128112
PZA03613.2,1,2.68443358189586
SYN2547,1,2.68447122620731
SYN2548,1,2.68450045008067
SYN2545,1,2.69659252938733
PZE.101002282,1,2.69866098523749
SYN11121,1,2.94729210156959
SYN11115,1,2.94742683913511
SYN11114,1,2.94758460457546
PZE.101002367,1,2.94771150286444
SYN11122,1,3.48985367122787
SYN11127,1,3.48996670510639
SYNGENTA17310,1,3.49913914945083
SYN30742,1,3.99807365847995
SYN30740,1,3.99871049023023
SYN30750,1,3.99874861541262
SYN30751,1,3.99876555993812
SYN30756,1,3.99877685628846
SYN30757,1,3.99878250446363
SYN30738,1,3.99954406674888
SYN30746,1,3.99999984310625
SYN30752,1,4.19467347491667
SYN30737,1,4.19478929417144
PZE.101002887,1,4.19935627462724
SYN30755,1,4.5422954774848
PZE.101003026,1,4.54247352185535
PZE.101003031,1,4.54267414848312
PZE.101003115,1,5.34714013306342
PZE.101003133,1,5.34803305315546
PZE.101003135,1,5.34839669438697
SYN9381,1,5.34912564274569
SYN9380,1,5.34913492416456
SYN9363,1,5.34922892827873
SYN9377,1,5.34986268259779
SYN9378,1,6.45230097259295
SYN9361,1,6.46463676965353
SYNGENTA16820,1,6.46467644724847
SYN9365,1,6.46513519894543
SYN9368,1,6.46516175998006
PZE.101003785,1,6.54990457702372
SYN11492,1,6.54991179113189
SYN11486,1,7.50694263358641
SYN11494,1,7.51799710471911
SYN11485,1,7.51805306480858
SYN11493,1,7.51810274900017
SYN11490,1,7.51827768965371
SYN11500,1,7.5184366790668
SYN11501,1,7.51845419928172
SYN11503,1,7.5184609981711
SYN11491,1,7.51866182690341
PZA02129.1,1,7.52454835762367
PZE.101004337,1,7.93096231449195
PZE.101004387,1,7.93616407368196
SYN15069,1,7.93685324501022
SYN15073,1,7.93723329540301
PZE.101004923,1,8.81310139162161
SYN10467,1,8.81331290778841
SYN10459,1,8.81379483791642
SYN10469,1,8.81721219972514
PZA00393.1,1,11.3514607044752
PUT.163a.29543981.1758,1,11.3802576670962
PUT.163a.29543981.1757,1,11.380269018596
SYN5934,1,11.4194101847611
SYN5936,1,11.4204354044262
SYN5935,1,11.449863868904
PZE.101005818,1,11.5061965827749
SYN7380,1,11.5965073227493
SYN7378,1,11.5968090336647
PZA02869.8,1,11.5992561780402
PZE.101005765,1,13.4856642072622
PZE.101005766,1,13.4857531050681
PZE.101005770,1,13.4861123832973
SYN7752,1,13.5292323254817
SYN7755,1,13.5313281834301
PUT.163a.50325923.2183,1,13.5468238493601
PUT.163a.50325923.2184,1,13.5468394167178
SYN10708,1,13.549388366709
SYN10711,1,13.5498357234094
SYN10714,1,13.5499930356558
SYN10715,1,14.9790154621173
SYN10709,1,14.9795999823873
PZE.101006745,1,14.9880501580636
PZE.101006890,1,15.0472320098151
SYN11315,1,15.0475112105604
ZM013498.0200,1,16.5725419206718
SYN11325,1,17.3559289905477
PZE.101007769,1,17.378887390773
SYN36149,1,17.3907150173749
SYN36150,1,17.3907197730361
SYN36142,1,17.3907436999564
SYN36143,1,17.3907942288565
PZA01022.1,1,17.390812805658
SYN36146,1,17.3923640428916
SYN10139,1,18.6760331135496
PZE.101009163,1,19.3401254684969
PZE.101009528,1,19.3490564051908
PUT.163a.86470789.4504,1,19.3499978461916
PUT.163a.86470789.4503,1,19.4488128899333
PZE.101009312,1,19.4489501485115
PZE.101009310,1,19.4489766179624
PZE.101009215,1,19.5475586776951
PZE.101009582,1,19.547961997798
PZE.101009670,1,19.6461404829613
SYN6322,1,19.7994120997711
SYN6315,1,19.7994660501947
SYN6312,1,19.7994903689398
SYN6339,1,19.7995418560942
SYN6338,1,19.7995420009924
SYN6314,1,19.7995472897761
SYN6335,1,19.7995983905354
SYN6346,1,19.7996036551694
SYN6331,1,19.9495820498079
SYN6318,1,19.9496496009625
SYN6326,1,19.9496585596183
SYN6317,1,19.9499836480449
SYN6320,1,20.2838724086007
SYN6337,1,20.2839485248758
PZE.101010560,1,20.2842554557144
PUT.163a.29543882.1755,1,20.2844789802686
PZE.101010649,1,20.2933377890198
SYN36524,1,20.2940110428328
PZE.101010821,1,20.2944178896832
PZE.101011048,1,20.8309863164723
SYN13179,1,21.1463011358042
ZM012984.0229,1,21.146369888733
SYN13174,1,21.146508695908
SYN13182,1,21.1465663876401
SYN13185,1,21.1466036920684
PZE.101011431,1,21.146611673481
SYN13177,1,21.1468744528142
SYN13175,1,21.1499809140134
SYN13165,1,21.249985658649
SYN13178,1,22.2279603859552
SYN13171,1,22.2280047804691
SYN13170,1,22.2280214637578
SYN7706,1,22.2453166615439
SYN7705,1,22.2453176512305
SYNGENTA6009,1,23.2375938940456
SYN7702,1,23.2377002919379
SYN7697,1,23.2386376266512
PZE.101011906,1,23.2386651337179
SYN7698,1,23.2491368086999
SYN7696,1,23.4450682710731
SYN20420,1,23.4457436753876
SYN12336,1,23.4498670000699
SYN12337,1,23.4499831945614
PZE.101012517,1,23.4499837665455
SYN12340,1,23.4499982023356
SYN12338,1,23.7934154465514
SYN13394,1,23.7984999901786
SYN13400,1,24.0379328344438
SYN13397,1,24.0402745664391
SYN13396,1,24.0403595509562
SYN13395,1,24.0403849541096
SYN13518,1,24.0446450851988
PZE.101013646,1,24.0451524488068
PZE.101013713,1,24.0486229519622
PZE.101013772,1,24.049778811341
PZE.101013802,1,24.0498045006376
PHM1699.29,1,24.0498771492053
PZE.101013818,1,24.0499503382657
SYN10900,1,24.0499854702865
SYN10896,1,24.198149543071
SYN6411,1,24.1999999434774
SYN6413,1,24.6481921244767
PZE.101014003,1,25.092357399439
PZE.101014135,1,25.0942328536837
PZE.101014266,1,25.0980113212234
SYN6732,1,25.0999798564371
SYN6740,1,25.0999858330987
SYN6742,1,25.0999866631905
SYN6738,1,25.7251781007148
SYN6739,1,25.7251792539487
SYN6733,1,25.7257354202254
SYN35551,1,25.741714475605
SYN35550,1,25.7417177815422
SYN35545,1,25.7418249554142
PZA00528.1,1,25.7418358726953
SYN35543,1,25.742040456392
SYN11901,1,26.9350167588548
SYN11909,1,26.93521419623
PZA.000175002,1,26.9409557530729
SYN11906,1,26.9491464801764
SYN11911,1,26.9492120605739
SYN11912,1,26.9492639957932
SYN11928,1,26.9493256775684
SYN11904,1,26.9493958527708
SYN11902,1,26.9498929271216
SYN11929,1,26.9499482040172
PZE.101015149,1,26.94997284888
SYN11903,1,26.9499816207803
SYN11908,1,27.6493098938742
SYN11910,1,27.6499431200007
SYN11915,1,27.8355410238708
PZE.101015469,1,27.8355786829433
PZE.101015471,1,27.8355863179923
PZE.101015503,1,27.8356013084968
SYN6211,1,27.8422516081994
SYN6207,1,27.8422998272973
SYN6208,1,27.8429011465478
SYN6209,1,27.8430126827841
PZA00447.5,1,27.8445860405496
PZA00447.6,1,27.844588234282
PZA00447.8,1,27.8445894816985
PZB01915.1,1,27.8447150191091
SYNGENTA14387,1,27.8447465486353
PZA00731.6,1,27.8499968384445
PZA00731.7,1,28.0488269296249
PZE.101016496,1,28.0488473057493
SYN21172,1,28.049993542928
SYN21171,1,28.0499976053243
SYN21174,1,28.0499990806156
SYN21175,1,28.2491830672508
SYN14137,1,28.2499754270717
SYN14140,1,28.548794540135
SYN14142,1,28.5499486232897
SYN14141,1,28.5499624934109
SYN14147,1,28.5499666926219
SYN14146,1,28.5499684104809
SYN14145,1,28.5499722915699
SYN14144,1,28.5499723233821
SYN14143,1,28.5499840302733
SYN14138,1,28.5499898200946
PZE.101016971,1,28.549998282141
PZE.101016973,1,28.796532849425
SYN10548,1,28.7989067201731
SYN10549,1,28.7989076613035
SYN10544,1,28.7995043902688
SYN10543,1,28.7998468048832
PZE.101017187,1,28.7998471970208
SYN10542,1,29.1857035902558
SYN10547,1,29.1862550236064
PZE.101017262,1,29.1862625658853
SYN10546,1,29.1863344796992
PZE.101017380,1,29.195457894472
PZE.101017463,1,29.7461692696876
PZE.101017487,1,29.7480423122652
SYN5905,1,29.7498683787081
PZE.101017580,1,29.7499986232082
PZE.101017581,1,30.5555901187564
SYN2431,1,30.5636768448803
SYN2434,1,30.5636937036538
SYN2436,1,30.5637296797924
SYN2435,1,30.5637361329115
PZA03519.2,1,30.5640321697474
PZA03519.1,1,30.5640539490242
PZA03520.2,1,30.5641731703984
PZE.101017779,1,30.5642774689349
PZA00106.9,1,30.5642889232212
PZE.101017823,1,30.5856565716477
PZE.101018023,1,30.5995574773619
PZE.101018057,1,30.5998411726077
PZE.101018111,1,31.2915781037523
PZE.101018199,1,31.2918249379516
PZE.101018206,1,31.2921146285008
PZE.101018214,1,31.2942911797863
PZE.101018261,1,31.2946092880989
PZE.101018356,1,31.2948628165519
PZE.101018400,1,31.598057015705
PZE.101018404,1,31.5982067167918
PZE.101018411,1,31.5982442748021
PZE.101018516,1,31.9968823616485
PZE.101018616,1,31.997577689208
PZE.101018668,1,31.9977615544463
PZE.101018729,1,31.9997327864333
PZE.101018769,1,31.9998447490645
PZE.101018818,1,32.2850677476687
PZE.101018826,1,32.2850745974696
PZE.101018868,1,32.2865641938769
PZE.101019334,1,32.2904394556901
PZE.101019536,1,32.2977967693689
PZE.101019537,1,32.2977998805381
PZE.101019538,1,32.2978066780505
PZE.101019557,1,32.2979873611586
PZE.101019597,1,32.2999357112194
SYN5764,1,32.4988707592189
PZE.101019726,1,32.4989859422637
PZE.101019727,1,32.4989917109437
PZE.101019767,1,32.4997615438997
PZE.101019781,1,32.6449328799522
PZE.101019823,1,32.6466935383982
PZE.101019853,1,32.6476256576007
SYN20883,1,32.6495056382514
SYN20882,1,32.6498885112573
PZE.101020116,1,32.8499831293514
SYN20881,1,33.1987987351745
SYN34343,1,33.1998729411788
SYN34345,1,33.1998734665771
SYN34331,1,33.1998757433031
SYN34328,1,33.1998888490717
SYN34334,1,33.1998976932763
SYN34332,1,33.1999098066259
SYN34342,1,33.1999577638148
SYN34325,1,33.19999588438
SYN34329,1,33.4957179370784
PZE.101020456,1,33.4995759147042
PUT.163a.4609499.2076,1,33.4999626372864
SYN33820,1,33.6498952972353
SYN33818,1,33.6498973673853
SYN33828,1,33.6499967838741
SYN33835,1,33.6499969563866
SYN33817,1,34.047389114788
SYN33821,1,34.0478270806787
SYN33825,1,34.0478302798929
PZE.101020844,1,34.0497768058442
PZE.101020931,1,34.0498546316256
PZE.101020971,1,35.0795143350022
PZE.101020979,1,35.079534080019
PZE.101021308,1,35.0877145665171
SYN372,1,35.088150889378
PZE.101021455,1,35.0885885565804
PZE.101021585,1,35.0948268055948
SYN20609,1,35.0948920901823
PZE.101021690,1,35.0990497185525
PZE.101021745,1,36.2696724201876
PZE.101021926,1,36.2715585985167
PZE.101021930,1,36.2716328213936
SYN20615,1,36.2717030195748
SYN20612,1,36.2718165534331
SYN20618,1,36.2718994808844
PZE.101021985,1,36.2719005104578
PZE.101021986,1,36.2719110869837
PZE.101021997,1,36.2764073272861
PZE.101022341,1,36.8434267499234
PZE.101022796,1,36.8486682683508
SYN12538,1,36.8499520612211
SYN12549,1,36.9945106033709
SYN12547,1,36.9945310505812
SYN12545,1,36.9946387993612
PZA03557.1,1,36.9946474638109
SYN12536,1,36.9946512837418
SYN12535,1,36.994675361557
PZE.101023214,1,37.1490144828402
SYN20037,1,37.1497766469412
SYN20040,1,37.1497782069165
SYN20039,1,37.1497782401074
PZE.101023271,1,37.2496650267671
SYN20032,1,37.2499012164171
SYN20031,1,37.3494197343949
SYN20034,1,37.349694567047
SYN14649,1,37.3499960753853
SYN14642,1,37.4999540040311
SYN14644,1,37.4999804596587
SYN14645,1,37.4999868817787
SYN14648,1,37.4999990903823
SYN14647,1,37.6469198289141
PZE.101023852,1,37.7992249913746
SYN112,1,37.7993005140348
SYN113,1,37.7993020774528
SYN114,1,37.7993028857505
SYN111,1,37.7993042790006
SYN5662,1,37.7999286570899
SYN5664,1,37.7999643923579
SYN5667,1,37.7999900877173
SYN5663,1,38.5078923499966
PZE.101024131,1,38.5110616679896
PZE.101024424,1,38.5281257129343
PZA03663.2,1,38.5282224327457
SYN25067,1,38.5340285827538
SYN25072,1,38.5340950368432
SYN25071,1,38.5340952878028
SYN25070,1,38.5346706376722
SYN25069,1,38.5346828343064
SYN25068,1,38.5347226364914
csu1171.2,1,38.534725648006
PZE.101024519,1,38.5347295127831
PZA01497.1,1,38.5347370917616
PZE.101024556,1,38.538258104471
PZE.101024667,1,38.5431731974931
PZE.101024700,1,38.5437088957532
PZE.101024733,1,38.5451837348497
SYN25022,1,38.5454260613933
SYN25015,1,38.5454667168407
PZE.101024808,1,38.545769775596
PZE.101024809,1,38.5457941688645
SYN25029,1,38.5458019486106
SYN33163,1,38.5491987363417
SYN33160,1,39.2492588888018
PZA01652.1,1,39.3499921188064
SYN33162,1,39.6975009796085
PZE.101025101,1,40.4466098604223
SYN31161,1,40.4467746203337
PUT.163a.149070810.821,1,40.4467783862745
SYN31156,1,40.4467919634823
SYN31166,1,41.3499679911198
SYN31163,1,41.349970364101
SYNGENTA10955,1,41.3499823872059
SYNGENTA12708,1,41.790694395949
SYN22236,1,41.7960016836728
SYN22238,1,41.9477358960209
SYN20196,1,41.9479394590979
PZE.101026148,1,42.0497165261917
SYN5068,1,42.0499457775005
SYN5061,1,42.0499469052879
SYNGENTA10737,1,42.0499552243042
SYN5056,1,42.0499737757741
SYN5051,1,42.0499816956297
SYN5065,1,42.0499879364759
PZE.101026206,1,42.0499882786137
PZE.101026218,1,42.0499988658767
SYN5063,1,42.2979966829686
SYN5066,1,42.2980177538111
PZE.101026314,1,42.2983887640526
PZE.101026386,1,42.2985201229217
PZE.101026429,1,42.2999377459522
PZE.101026621,1,42.544065400574
PUT.163a.76282462.3845,1,42.5441040965191
PZE.101026882,1,42.5451737837185
PZE.101027125,1,42.5469471723262
PZE.101027158,1,42.5473028239339
ZM008441.0588,1,42.5493441533403
PZE.101027351,1,42.5495349464836
PZE.101027362,1,42.5495483641308
PZE.101027182,1,42.5498962002261
PZE.101027475,1,42.7995228036261
PZE.101027550,1,42.7999615176457
PZE.101027616,1,43.1434298342053
SYN14297,1,43.1457330134664
PZE.101027798,1,43.1461252702631
PZE.101027807,1,43.1462032211352
PUT.163a.50327548.2188,1,43.1462303100017
PUT.163a.76287542.3906,1,43.1462316237805
PUT.163a.71311320.3113,1,43.3499541087118
PUT.163a.71311320.3110,1,43.3499556098287
PZE.101028104,1,43.4499573495461
PZE.101028121,1,43.4499598324777
SYN362,1,43.4499823693991
SYN364,1,43.6499811085541
PZE.101028242,1,43.9386262605197
SYN367,1,43.9390425212644
PZE.101028351,1,43.9390431740608
SYN31941,1,43.9412303854024
PZE.101028930,1,44.6427079550677
PZE.101029123,1,44.6440886602806
SYN33277,1,44.6479444259109
SYN33270,1,44.6490728374018
SYN33269,1,44.6495831272938
PZB00718.5,1,44.6495865725227
PZB00718.3,1,44.649600987044
PZE.101029587,1,45.245052691968
SYN30822,1,45.2456681882289
SYN30825,1,45.2457403206378
SYN30824,1,45.2457446586708
PZE.101029689,1,45.2465275222971
SYN30830,1,45.2467312417065
SYN30828,1,45.2467507124126
PZE.101029707,1,45.2468236518974
PZE.101029737,1,45.2495162252522
PZE.101029748,1,45.2496367485871
PZE.101029759,1,45.3499562576933
PZE.101029820,1,45.4493749951635
SYN10534,1,45.4495479633661
SYN10533,1,45.4495633623184
PZE.101029990,1,45.5946240909864
PZE.101029991,1,45.5946294291658
SYN10530,1,45.5946338575198
SYN10529,1,45.5946353712117
SYN10525,1,45.5946448156831
SYN10536,1,45.5946466675402
SYN10535,1,45.5946468929836
SYN10527,1,45.5946531409885
SYN10537,1,45.5946554437326
SYN10531,1,45.5946616836859
SYN10528,1,45.5947278674491
PZE.101030022,1,45.594734493877
SYN100,1,45.595981582771
PZE.101030089,1,45.5959968726696
SYN97,1,45.5960367117523
SYN96,1,45.5960439984075
SYN101,1,45.5960780001145
PZE.101030221,1,45.5965245794848
PZE.101030251,1,45.5965449096554
PZE.101030258,1,45.5965524781149
PZE.101030261,1,45.5965536053323
PZE.101030263,1,45.596554619828
PZE.101030280,1,45.5965878888437
SYN8027,1,45.5971726167552
PZE.101030300,1,45.597288108227
ZM013214.0531,1,45.5972895575065
PZE.101030302,1,45.5972927137152
PZE.101030429,1,45.5999502011466
PZE.101030508,1,46.4299540903801
PZE.101030561,1,46.4305293966797
SYN29713,1,46.4329387869464
PZE.101030616,1,46.4356548973519
PZE.101030692,1,46.4444835369548
PZE.101030875,1,46.4457001266817
PZE.101030925,1,46.4457817405226
PZE.101030943,1,46.4458480294938
PZE.101031043,1,47.3245945331193
PZE.101031053,1,47.3254359364544
PZE.101031077,1,47.3255002472454
PZE.101031146,1,47.325643628681
PZE.101031250,1,47.3315759439036
PZE.101031377,1,47.3317194628534
PZE.101031542,1,47.3329123982312
SYN16133,1,47.3359038355298
PZE.101031655,1,47.3367718707748
PZE.101031636,1,47.3368094579798
SYN7651,1,47.3465582496504
PZE.101032015,1,47.5994936699213
SYN38630,1,47.5999875253114
SYN38627,1,47.8472545145909
SYN38628,1,47.847257276876
SYN38626,1,47.8472604283923
PZE.101032230,1,47.8472924583439
PZE.101032231,1,47.8472928224633
PZE.101032246,1,47.8473368557993
PZE.101032249,1,47.847338940069
PZE.101032318,1,47.8484961491988
ZM004048.0695,1,48.0339759764037
PZE.101032517,1,48.0342473944481
PZE.101032702,1,48.0353725654046
PZE.101032703,1,48.0353729343797
PZE.101032704,1,48.035374290363
SYN35792,1,48.0354632963686
SYN35793,1,48.0354787379744
SYN28649,1,48.0364801731489
SYN28651,1,48.0364975242005
SYN28647,1,48.0365001623721
PZE.101032822,1,48.0370773961597
SYN28648,1,48.0371024495654
PZE.101032815,1,48.0371320505885
SYN24828,1,48.0383487642541
SYN24827,1,48.0383498435061
PZE.101032846,1,48.039364552558
SYN27885,1,48.0403383515016
SYN27888,1,48.0404024885891
SYN27887,1,48.0404094529931
SYN27599,1,48.0428137036225
PZE.101032948,1,48.0429220346963
PZE.101032956,1,48.0429305764686
SYN406,1,48.0436151081999
PZE.101032973,1,48.0436334462597
PZE.101032974,1,48.0436457608019
PZE.101032978,1,48.0437037360061
PZE.101032991,1,48.0443939222799
PZE.101033005,1,48.0444796997539
PZE.101033119,1,48.0472239239915
PZE.101033184,1,48.0473008460644
SYN18699,1,48.0479632116197
SYN18708,1,48.0480086139992
SYN18706,1,48.0480121284865
SYN18710,1,48.0480126727247
SYN18709,1,48.0480127003978
PZA00425.11,1,48.0480240740537
SYN18697,1,48.0480366468784
SYN18695,1,48.0480472641353
SYN18696,1,48.0480510461296
SYN18703,1,48.0480610176802
SYN18698,1,48.0485523448526
PZE.101033489,1,48.0489490483741
PZE.101033613,1,48.1999336346218
PZE.101033622,1,48.1999476379448
PZE.101033801,1,48.9982528901599
PZE.101033968,1,48.998674702688
PZE.101034052,1,49.7293570487405
SYN428,1,49.7320404946386
SYN430,1,49.7368588044976
PZE.101034085,1,49.736872614577
PZE.101034091,1,49.7368938995293
SYN431,1,49.7369056649124
PZE.101034101,1,49.7371278664071
PHM13619.5,1,49.7458939148142
PZE.101034395,1,49.8966125145553
SYN18923,1,49.8966372568926
SYN18926,1,49.8966373289703
SYN18917,1,49.8966452771841
SYN18916,1,49.8966587819396
PZE.101034427,1,49.8966618485217
PZE.101034431,1,49.8966662976867
SYN18922,1,49.8970193150112
SYN18921,1,49.897020035789
PZE.101034578,1,49.8971889402452
PZA02487.1,1,49.8980552693315
PUT.163a.60353197.2708,1,49.8982969985588
PUT.163a.60353197.2707,1,49.8982976472588
PZE.101035008,1,49.8983806349974
PZE.101035105,1,49.8992243775275
PZE.101035119,1,49.8998771204847
ZM013364.0434,1,50.0985951255483
PZE.101035341,1,50.2984937758768
PZE.101035605,1,50.2996913230267
PZE.101035640,1,50.2999043859923
SYN13194,1,50.2999075975209
SYN13192,1,50.2999091128802
SYN13193,1,50.2999148557477
PZE.101035691,1,50.2999852166365
PZE.101035737,1,50.4499198794487
PZD00096.1,1,50.4499933587847
PZD00098.3,1,50.597955935058
SYN13196,1,50.597980552759
SYN13195,1,50.5979806609826
SYN13191,1,50.5980009688352
PZE.101036181,1,51.0468912134438
PZE.101036305,1,51.047279720893
SYN25850,1,51.0473031591851
PZE.101036310,1,51.0473183919861
PZE.101036318,1,51.0473243079614
PZE.101036338,1,51.047343969388
PZE.101036345,1,51.048123123396
PZE.101036444,1,51.4480717415683
PZE.101036609,1,51.4485671361096
PZE.101036683,1,51.8967725593312
PZE.101036799,1,51.8994126099964
PZE.101036862,1,51.8995886170893
PZE.101036864,1,51.8995896759183
SYN39147,1,51.8996733419812
SYN7041,1,51.8999994798735
SYN7040,1,52.149149872628
PZE.101036991,1,52.1498737737032
SYN7039,1,52.9904141577304
PZE.101037142,1,52.9938802929682
PZE.101037191,1,52.9973060455107
PZE.101037211,1,52.9974020927087
PZE.101037244,1,52.9999560907338
SYN5537,1,52.9999627981335
SYN5538,1,52.9999987899021
PZE.101037265,1,53.8945596405122
PZE.101037493,1,53.8982335706003
PZE.101037602,1,54.1948180176014
PZE.101037751,1,54.197151966969
SYNGENTA10989,1,54.1972769299443
PZE.101037854,1,54.1991830563364
SYN87,1,54.1998546071754
PUT.163a.76288969.3915,1,54.3981889714209
PUT.163a.4314770.2050,1,54.3991162503066
PUT.163a.4314770.2048,1,54.3991175968138
PZE.101038058,1,54.3997757002458
PZE.101038176,1,54.3998169537621
PZE.101038315,1,54.6494794131883
SYN16271,1,54.6495867228282
SYN16264,1,54.6495876068436
SYN16262,1,54.6496116127713
SYN16261,1,54.649619411751
SYN16275,1,54.6496209735115
SYN16276,1,54.6496215137431
SYN16259,1,54.6496314540045
SYN16258,1,54.6497312396916
SYN16272,1,54.6497329978999
SYN16274,1,54.6497333711509
SYN16268,1,54.6497377126484
PZE.101038503,1,55.1767666384583
PZE.101038522,1,55.176783774953
PZE.101038492,1,55.1803148862894
SYN33013,1,55.1804613950409
SYN33012,1,55.1805322383035
PZE.101038943,1,55.1843975112873
SYN30328,1,55.1844682717649
SYN30334,1,55.1844728042436
SYN30333,1,55.1844734044349
SYN30332,1,55.1844833800272
SYN30331,1,55.1844856152222
PZE.101038989,1,55.1856001910527
PZE.101039024,1,55.1857242857658
SYN24,1,55.1889034159837
PUT.163a.93016767.4837,1,55.1912400639657
SYN10797,1,55.192210718076
PZB01957.1,1,55.1923164966081
SYN10796,1,55.1948938212777
SYN10799,1,55.1949077291574
SYN10801,1,55.1949079154237
PZE.101039198,1,55.1970786001794
PZE.101039199,1,55.1970798212582
PZE.101039207,1,55.197088430898
SYN27581,1,55.197188642139
PZE.101039301,1,55.1983816774521
PZE.101039371,1,55.6481827573063
PZE.101039400,1,55.6499617726117
PZE.101039409,1,57.3829273335581
PZE.101039440,1,57.3833389679931
PZE.101039466,1,57.3834813744161
PZE.101039469,1,57.3835632597328
SYN246,1,57.391988096452
SYN250,1,57.3919936160808
SYN248,1,57.3920082268629
SYN252,1,57.3920204349831
SYN6258,1,57.3976106500969
PZE.101039624,1,57.3978316949962
PZE.101039642,1,57.3978935148388
PZE.101039648,1,57.3979451396023
PZE.101039655,1,59.3193234026565
SYN29903,1,59.3316652329563
PZE.101040499,1,59.3352782871823
PZE.101040594,1,60.0468119461881
SYN21665,1,60.0470487044013
SYN21657,1,60.0470514275152
SYN21659,1,60.0470545832734
SYN21670,1,60.0470569246424
SYN21669,1,60.0470584516221
PZE.101040607,1,60.0472119385386
PZE.101040619,1,60.0473371763294
SYN15800,1,60.0475011230573
SYN15798,1,60.0475076890703
SYN15799,1,60.0475131098485
SYN15796,1,60.0499390735072
PZE.101040677,1,60.0499537834123
PZE.101040678,1,60.5426164510859
PZE.101040783,1,60.5434774690188
PZE.101040838,1,60.5435218497248
SYN68,1,60.5448124184451
SYN71,1,60.5448266568072
SYN75,1,60.5448269612753
SYN60,1,60.5448658794649
SYN61,1,60.5448682614802
SYN74,1,60.5450039109825
SYN73,1,60.5450328533638
SYN69,1,60.5450504946049
SYN63,1,60.5451376441267
PZE.101041070,1,60.5451750937054
PZE.101041088,1,60.5474768726912
PZE.101041178,1,60.5479783854142
SYN24631,1,60.5496107285539
SYN24633,1,60.549864619146
SYN24635,1,60.6474710728549
SYN24632,1,60.6474760480889
PZE.101041380,1,60.6476925563063
SYN24373,1,60.6480088869201
SYN24370,1,60.6480344334373
SYN23119,1,60.6490768200218
PZE.101041588,1,60.6492176173978
PZB02058.2,1,60.6492328643078
PZB02058.1,1,60.6492337790526
PZE.101041602,1,60.6492340897865
PUT.163a.149085801.877,1,60.6493200478642
PUT.163a.149085801.876,1,60.649320428426
PZE.101041837,1,60.6496096029907
PZE.101041854,1,60.6498452964086
SYN6614,1,60.649892873611
PZE.101041986,1,60.6499049328799
PZE.101041995,1,60.6499063818077
PZE.101042009,1,60.6499087315147
PZE.101042039,1,60.6499707491156
PZE.101042040,1,60.649972452915
PZE.101042041,1,60.6499826268321
PZE.101042048,1,60.8448069449041
PZE.101042060,1,60.8448171675205
PZE.101042156,1,60.8456577889739
PZE.101042195,1,60.8458625065583
PZE.101042196,1,60.8458629758601
SYNGENTA14642,1,60.8458835843281
PZE.101042341,1,60.8467545403584
