# Physical map for Maize MAGIC from Dell'acqua et al (2015) doi:10.1186/s13059-015-0716-z
# nrow 41325
# ncol 3
marker,chr,pos_cM
PZE.101009163,1,5.64692
PZE.101009528,1,5.725705
PUT.163a.86470789.4504,1,5.73401
PUT.163a.86470789.4503,1,5.734029
PZE.101009312,1,5.741994
PZE.101009310,1,5.74353
PZE.101009215,1,5.802916
PZE.101009582,1,5.826906
PZE.101009670,1,5.948129
SYN6322,1,6.186914
SYN6315,1,6.189148
SYN6312,1,6.190155
SYN6339,1,6.192287
SYN6338,1,6.192293
SYN6314,1,6.192512
SYN6335,1,6.194628
SYN6346,1,6.194846
SYN6331,1,6.211258
SYN6318,1,6.214063
SYN6326,1,6.214435
SYN6317,1,6.227934
SYN6320,1,6.228613
SYN6337,1,6.230033
PZE.101010560,1,6.235759
PUT.163a.29543882.1755,1,6.239929
PZE.101010649,1,6.405196
SYN36524,1,6.417756
PZE.101010821,1,6.425346
PZE.101011048,1,6.541428
SYN13179,1,6.830797
ZM012984.0229,1,6.832382
SYN13174,1,6.835582
SYN13182,1,6.836912
SYN13185,1,6.837772
PZE.101011431,1,6.837956
SYN13177,1,6.844014
SYN13175,1,6.915629
SYN13165,1,6.916069
SYN13178,1,6.917061
SYN13171,1,6.917375
SYN13170,1,6.917493
SYN7706,1,7.039821
SYN7705,1,7.039828
SYNGENTA6009,1,7.072946
SYN7702,1,7.073708
SYN7697,1,7.080421
PZE.101011906,1,7.080618
SYN7698,1,7.155614
SYN7696,1,7.161796
SYN20420,1,7.186593
SYN12336,1,7.337978
SYN12337,1,7.342244
PZE.101012517,1,7.342265
SYN12340,1,7.342795
SYN12338,1,7.342861
SYN13394,1,7.451578
SYN13400,1,7.483651
SYN13397,1,7.557305
SYN13396,1,7.559978
SYN13395,1,7.560777
SYN13518,1,7.69477
PZE.101013646,1,7.710728
PZE.101013713,1,7.819885
PZE.101013772,1,7.85624
PZE.101013802,1,7.857048
PHM1699.29,1,7.859333
PZE.101013818,1,7.861635
SYN10900,1,7.86274
SYN10896,1,7.863197
SYN6411,1,7.961409
SYN6413,1,7.961412
PZE.101014003,1,7.993526
PZE.101014135,1,8.027416
PZE.101014266,1,8.095694
SYN6732,1,8.131266
SYN6740,1,8.131374
SYN6742,1,8.131389
SYN6738,1,8.13163
SYN6739,1,8.131645
SYN6733,1,8.138879
SYN35551,1,8.346717
SYN35550,1,8.34676
SYN35545,1,8.348154
PZA00528.1,1,8.348296
SYN35543,1,8.350957
SYN11901,1,8.510819
SYN11909,1,8.512237
PZA.000175002,1,8.553473
SYN11906,1,8.612299
SYN11911,1,8.61277
SYN11912,1,8.613143
SYN11928,1,8.613586
SYN11904,1,8.61409
SYN11902,1,8.61766
SYN11929,1,8.618057
PZE.101015149,1,8.618234
SYN11903,1,8.618297
SYN11908,1,8.618429
SYN11910,1,8.626233
SYN11915,1,8.626934
PZE.101015469,1,8.628685
PZE.101015471,1,8.62904
PZE.101015503,1,8.629737
SYN6211,1,8.93895
SYN6207,1,8.941192
SYN6208,1,8.969151
SYN6209,1,8.974337
PZA00447.5,1,9.047492
PZA00447.6,1,9.047594
PZA00447.8,1,9.047652
PZB01915.1,1,9.053489
SYNGENTA14387,1,9.054955
PZA00731.6,1,9.299073
PZA00731.7,1,9.29922
PZE.101016496,1,9.300173
SYN21172,1,9.353783
SYN21171,1,9.353973
SYN21174,1,9.354042
SYN21175,1,9.354085
SYN14137,1,9.391296
SYN14140,1,9.39245
SYN14142,1,9.428728
SYN14141,1,9.429164
SYN14147,1,9.429296
SYN14146,1,9.42935
SYN14145,1,9.429472
SYN14144,1,9.429473
SYN14143,1,9.429841
SYN14138,1,9.430023
PZE.101016971,1,9.430289
PZE.101016973,1,9.430343
SYN10548,1,9.521148
SYN10549,1,9.521184
SYN10544,1,9.54401
SYN10543,1,9.557108
PZE.101017187,1,9.557123
SYN10542,1,9.562968
SYN10547,1,9.57664
PZE.101017262,1,9.576827
SYN10546,1,9.57861
PZE.101017380,1,9.804812
PZE.101017463,1,9.917427
PZE.101017487,1,9.951438
SYN5905,1,9.984596
PZE.101017580,1,9.986961
PZE.101017581,1,9.986986
SYN2431,1,10.087238
SYN2434,1,10.087447
SYN2436,1,10.087893
SYN2435,1,10.087973
PZA03519.2,1,10.091643
PZA03519.1,1,10.091913
PZA03520.2,1,10.093391
PZE.101017779,1,10.094684
PZA00106.9,1,10.094826
PZE.101017823,1,10.359723
PZE.101018023,1,10.532054
PZE.101018057,1,10.535571
PZE.101018111,1,10.53754
PZE.101018199,1,10.541301
PZE.101018206,1,10.545715
PZE.101018214,1,10.578879
PZE.101018261,1,10.583726
PZE.101018356,1,10.587589
PZE.101018400,1,10.665864
PZE.101018404,1,10.671221
PZE.101018411,1,10.672565
PZE.101018516,1,10.818654
PZE.101018616,1,10.837608
PZE.101018668,1,10.84262
PZE.101018729,1,10.896354
PZE.101018769,1,10.899406
PZE.101018818,1,10.903638
PZE.101018826,1,10.9039
PZE.101018868,1,10.960876
PZE.101019334,1,11.109102
PZE.101019536,1,11.390514
PZE.101019537,1,11.390633
PZE.101019538,1,11.390893
PZE.101019557,1,11.397804
PZE.101019597,1,11.472327
SYN5764,1,11.479916
PZE.101019726,1,11.486565
PZE.101019727,1,11.486898
PZE.101019767,1,11.531337
PZE.101019781,1,11.545102
PZE.101019823,1,11.685353
PZE.101019853,1,11.759604
SYN20883,1,11.90936
SYN20882,1,11.939859
PZE.101020116,1,11.94874
SYN20881,1,11.949748
SYN34343,1,11.98655
SYN34345,1,11.986568
SYN34331,1,11.986646
SYN34328,1,11.987095
SYN34334,1,11.987398
SYN34332,1,11.987813
SYN34342,1,11.989456
SYN34325,1,11.990762
SYN34329,1,11.990903
PZE.101020456,1,12.147338
PUT.163a.4609499.2076,1,12.163019
SYN33820,1,12.164534
SYN33818,1,12.164702
SYN33828,1,12.17277
SYN33835,1,12.172784
SYN33817,1,12.173031
SYN33821,1,12.186447
SYN33825,1,12.186545
PZE.101020844,1,12.246172
PZE.101020931,1,12.248556
PZE.101020971,1,12.253009
PZE.101020979,1,12.253244
PZE.101021308,1,12.350606
SYN372,1,12.355799
PZE.101021455,1,12.361008
PZE.101021585,1,12.435254
SYN20609,1,12.436031
PZE.101021690,1,12.485514
PZE.101021745,1,12.496824
PZE.101021926,1,12.516976
PZE.101021930,1,12.517769
SYN20615,1,12.518519
SYN20612,1,12.519732
SYN20618,1,12.520618
PZE.101021985,1,12.520629
PZE.101021986,1,12.520742
PZE.101021997,1,12.56878
PZE.101022341,1,12.820845
PZE.101022796,1,12.944506
SYN12538,1,12.974794
SYN12549,1,12.975925
SYN12547,1,12.977761
SYN12545,1,12.987436
PZA03557.1,1,12.988214
SYN12536,1,12.988557
SYN12535,1,12.990719
PZE.101023214,1,13.46883
SYN20037,1,13.537719
SYN20040,1,13.53786
SYN20039,1,13.537863
PZE.101023271,1,13.557907
SYN20032,1,13.590037
SYN20031,1,13.603475
SYN20034,1,13.64108
SYN14649,1,13.682335
SYN14642,1,13.682872
SYN14644,1,13.685286
SYN14645,1,13.685872
SYN14648,1,13.686986
SYN14647,1,13.742728
PZE.101023852,1,14.030844
SYN112,1,14.037945
SYN113,1,14.038092
SYN114,1,14.038168
SYN111,1,14.038299
SYN5662,1,14.097006
SYN5664,1,14.100366
SYN5667,1,14.102782
SYN5663,1,14.103714
PZE.101024131,1,14.166858
PZE.101024424,1,14.506834
PZA03663.2,1,14.508761
SYN25067,1,14.62444
SYN25072,1,14.625764
SYN25071,1,14.625769
SYN25070,1,14.637232
SYN25069,1,14.637475
SYN25068,1,14.638268
csu1171.2,1,14.638328
PZE.101024519,1,14.638405
PZA01497.1,1,14.638556
PZE.101024556,1,14.708707
PZE.101024667,1,14.806633
PZE.101024700,1,14.817306
PZE.101024733,1,14.84669
SYN25022,1,14.851518
SYN25015,1,14.852328
PZE.101024808,1,14.858366
PZE.101024809,1,14.858852
SYN25029,1,14.859007
SYN33163,1,14.926683
SYN33160,1,14.942647
PZA01652.1,1,14.958484
SYN33162,1,14.959663
PZE.101025101,1,15.067244
SYN31161,1,15.070569
PUT.163a.149070810.821,1,15.070645
SYN31156,1,15.070919
SYN31166,1,15.169576
SYN31163,1,15.169666
SYNGENTA10955,1,15.170122
SYNGENTA12708,1,15.17079
SYN22236,1,15.353492
SYN22238,1,15.491133
SYN20196,1,15.512478
PZE.101026148,1,15.738375
SYN5068,1,15.774558
SYN5061,1,15.774736
SYNGENTA10737,1,15.776049
SYN5056,1,15.778977
SYN5051,1,15.780227
SYN5065,1,15.781212
PZE.101026206,1,15.781266
PZE.101026218,1,15.782937
SYN5063,1,15.783116
SYN5066,1,15.784457
PZE.101026314,1,15.808069
PZE.101026386,1,15.816429
PZE.101026429,1,15.90665
PZE.101026621,1,15.988905
PUT.163a.76282462.3845,1,15.99144
PZE.101026882,1,16.061516
PZE.101027125,1,16.177692
PZE.101027158,1,16.200991
ZM008441.0588,1,16.33472
PZE.101027351,1,16.347219
PZE.101027362,1,16.348098
PZE.101027182,1,16.370885
PZE.101027475,1,16.437152
PZE.101027550,1,16.466052
PZE.101027616,1,16.468587
SYN14297,1,16.579032
PZE.101027798,1,16.597842
PZE.101027807,1,16.60158
PUT.163a.50327548.2188,1,16.602879
PUT.163a.76287542.3906,1,16.602942
PUT.163a.71311320.3113,1,16.783648
PUT.163a.71311320.3110,1,16.783774
PZE.101028104,1,16.7875
PZE.101028121,1,16.787917
SYN362,1,16.791702
SYN364,1,16.799668
PZE.101028242,1,16.801255
SYN367,1,16.825486
PZE.101028351,1,16.825524
SYN31941,1,16.952844
PZE.101028930,1,17.492478
PZE.101029123,1,17.527344
SYN33277,1,17.624711
SYN33270,1,17.653206
SYN33269,1,17.666092
PZB00718.5,1,17.666179
PZB00718.3,1,17.666543
PZE.101029587,1,17.69507
SYN30822,1,17.713373
SYN30825,1,17.715518
SYN30824,1,17.715647
PZE.101029689,1,17.738927
SYN30830,1,17.744985
SYN30828,1,17.745564
PZE.101029707,1,17.747733
PZE.101029737,1,17.827802
PZE.101029748,1,17.831386
PZE.101029759,1,17.842188
PZE.101029820,1,17.849996
SYN10534,1,17.881065
SYN10533,1,17.883831
PZE.101029990,1,17.962261
PZE.101029991,1,17.962924
SYN10530,1,17.963474
SYN10529,1,17.963662
SYN10525,1,17.964835
SYN10536,1,17.965065
SYN10535,1,17.965093
SYN10527,1,17.965869
SYN10537,1,17.966155
SYN10531,1,17.96693
SYN10528,1,17.97515
PZE.101030022,1,17.975973
SYN100,1,18.130861
PZE.101030089,1,18.13276
SYN97,1,18.137708
SYN96,1,18.138613
SYN101,1,18.142836
PZE.101030221,1,18.198301
PZE.101030251,1,18.200826
PZE.101030258,1,18.201766
PZE.101030261,1,18.201906
PZE.101030263,1,18.202032
PZE.101030280,1,18.206164
SYN8027,1,18.278787
PZE.101030300,1,18.293131
ZM013214.0531,1,18.293311
PZE.101030302,1,18.293703
PZE.101030429,1,18.623762
PZE.101030508,1,18.630123
PZE.101030561,1,18.643037
SYN29713,1,18.697121
PZE.101030616,1,18.75809
PZE.101030692,1,18.956268
PZE.101030875,1,18.983577
PZE.101030925,1,18.985409
PZE.101030943,1,18.986897
PZE.101031043,1,19.080097
PZE.101031053,1,19.098453
PZE.101031077,1,19.099856
PZE.101031146,1,19.102984
PZE.101031250,1,19.232403
PZE.101031377,1,19.235534
PZE.101031542,1,19.261559
SYN16133,1,19.32682
PZE.101031655,1,19.345757
PZE.101031636,1,19.346577
SYN7651,1,19.559256
PZE.101032015,1,19.639992
SYN38630,1,19.678868
SYN38627,1,19.692389
SYN38628,1,19.692609
SYN38626,1,19.69286
PZE.101032230,1,19.695411
PZE.101032231,1,19.69544
PZE.101032246,1,19.698947
PZE.101032249,1,19.699113
PZE.101032318,1,19.791278
ZM004048.0695,1,19.944544
PZE.101032517,1,19.973968
PZE.101032702,1,20.095946
PZE.101032703,1,20.095986
PZE.101032704,1,20.096133
SYN35792,1,20.105782
SYN35793,1,20.107456
SYN28649,1,20.21602
SYN28651,1,20.217901
SYN28647,1,20.218187
PZE.101032822,1,20.280764
SYN28648,1,20.28348
PZE.101032815,1,20.286689
SYN24828,1,20.418591
SYN24827,1,20.418708
PZE.101032846,1,20.528711
SYN27885,1,20.634279
SYN27888,1,20.641232
SYN27887,1,20.641987
SYN27599,1,20.902628
PZE.101032948,1,20.914372
PZE.101032956,1,20.915298
SYN406,1,20.989507
PZE.101032973,1,20.991495
PZE.101032974,1,20.99283
PZE.101032978,1,20.999115
PZE.101032991,1,21.073937
PZE.101033005,1,21.083236
PZE.101033119,1,21.380733
PZE.101033184,1,21.389072
SYN18699,1,21.460878
SYN18708,1,21.4658
SYN18706,1,21.466181
SYN18710,1,21.46624
SYN18709,1,21.466243
PZA00425.11,1,21.467476
SYN18697,1,21.468839
SYN18695,1,21.46999
SYN18696,1,21.4704
SYN18703,1,21.471481
SYN18698,1,21.524745
PZE.101033489,1,21.567751
PZE.101033613,1,21.681683
PZE.101033622,1,21.683708
PZE.101033801,1,21.710017
PZE.101033968,1,21.721489
PZE.101034052,1,21.759115
SYN428,1,21.839171
SYN430,1,21.982917
PZE.101034085,1,21.983329
PZE.101034091,1,21.983964
SYN431,1,21.984315
PZE.101034101,1,21.990944
PHM13619.5,1,22.252464
PZE.101034395,1,22.374962
SYN18923,1,22.378738
SYN18926,1,22.378749
SYN18917,1,22.379962
SYN18916,1,22.382023
PZE.101034427,1,22.382491
PZE.101034431,1,22.38317
SYN18922,1,22.437045
SYN18921,1,22.437155
PZE.101034578,1,22.462932
PZA02487.1,1,22.595145
PUT.163a.60353197.2708,1,22.632036
PUT.163a.60353197.2707,1,22.632135
PZE.101035008,1,22.6448
PZE.101035105,1,22.773566
PZE.101035119,1,22.873183
ZM013364.0434,1,22.891936
PZE.101035341,1,23.053875
PZE.101035605,1,23.192963
PZE.101035640,1,23.217709
SYN13194,1,23.218082
SYN13192,1,23.218258
SYN13193,1,23.218925
PZE.101035691,1,23.227097
PZE.101035737,1,23.228814
PZD00096.1,1,23.240199
PZD00098.3,1,23.241228
SYN13196,1,23.245095
SYN13195,1,23.245112
SYN13191,1,23.248302
PZE.101036181,1,23.563144
PZE.101036305,1,23.609639
SYN25850,1,23.612444
PZE.101036310,1,23.614267
PZE.101036318,1,23.614975
PZE.101036338,1,23.617328
PZE.101036345,1,23.710574
PZE.101036444,1,23.935191
PZE.101036609,1,23.964978
PZE.101036683,1,24.051133
PZE.101036799,1,24.193255
PZE.101036862,1,24.20273
PZE.101036864,1,24.202787
SYN39147,1,24.207291
SYN7041,1,24.224848
SYN7040,1,24.224876
PZE.101036991,1,24.295261
SYN7039,1,24.307534
PZE.101037142,1,24.407786
PZE.101037191,1,24.50687
PZE.101037211,1,24.509648
PZE.101037244,1,24.583518
SYN5537,1,24.583712
SYN5538,1,24.584753
PZE.101037265,1,24.584788
PZE.101037493,1,24.685757
PZE.101037602,1,24.734303
PZE.101037751,1,24.930114
SYNGENTA10989,1,24.940598
PZE.101037854,1,25.100516
SYN87,1,25.156857
PUT.163a.76288969.3915,1,25.169055
PUT.163a.4314770.2050,1,25.286815
PUT.163a.4314770.2048,1,25.286986
PZE.101038058,1,25.370562
PZE.101038176,1,25.375801
PZE.101038315,1,25.399047
SYN16271,1,25.409972
SYN16264,1,25.410062
SYN16262,1,25.412506
SYN16261,1,25.4133
SYN16275,1,25.413459
SYN16276,1,25.413514
SYN16259,1,25.414526
SYN16258,1,25.424685
SYN16272,1,25.424864
SYN16274,1,25.424902
SYN16268,1,25.425344
PZE.101038503,1,25.452275
PZE.101038522,1,25.453103
PZE.101038492,1,25.623719
SYN33013,1,25.630798
SYN33012,1,25.634221
PZE.101038943,1,25.820983
SYN30328,1,25.824402
SYN30334,1,25.824621
SYN30333,1,25.82465
SYN30332,1,25.825132
SYN30331,1,25.82524
PZE.101038989,1,25.879094
PZE.101039024,1,25.88509
SYN24,1,26.038699
PUT.163a.93016767.4837,1,26.151601
SYN10797,1,26.198501
PZB01957.1,1,26.203612
SYN10796,1,26.328143
SYN10799,1,26.328815
SYN10801,1,26.328824
PZE.101039198,1,26.433707
PZE.101039199,1,26.433766
PZE.101039207,1,26.434182
SYN27581,1,26.439024
PZE.101039301,1,26.496669
PZE.101039371,1,26.578596
PZE.101039400,1,26.684097
PZE.101039409,1,26.686364
PZE.101039440,1,26.692703
PZE.101039466,1,26.694896
PZE.101039469,1,26.696157
SYN246,1,26.825896
SYN250,1,26.825981
SYN248,1,26.826206
SYN252,1,26.826394
SYN6258,1,26.912481
PZE.101039624,1,26.915885
PZE.101039642,1,26.916837
PZE.101039648,1,26.917632
PZE.101039655,1,26.949276
SYN29903,1,27.122568
PZE.101040499,1,27.173299
PZE.101040594,1,27.380007
SYN21665,1,27.38931
SYN21657,1,27.389417
SYN21659,1,27.389541
SYN21670,1,27.389633
SYN21669,1,27.389693
PZE.101040607,1,27.395724
PZE.101040619,1,27.400645
SYN15800,1,27.407087
SYN15798,1,27.407345
SYN15799,1,27.407558
SYN15796,1,27.502882
PZE.101040677,1,27.50346
PZE.101040678,1,27.505276
PZE.101040783,1,27.553351
PZE.101040838,1,27.555829
SYN68,1,27.627888
SYN71,1,27.628683
SYN75,1,27.6287
SYN60,1,27.630873
SYN61,1,27.631006
SYN74,1,27.63858
SYN73,1,27.640196
SYN69,1,27.641181
SYN63,1,27.646047
PZE.101041070,1,27.648138
PZE.101041088,1,27.776658
PZE.101041178,1,27.80466
SYN24631,1,27.895802
SYN24633,1,27.909978
SYN24635,1,27.917537
SYN24632,1,27.918962
PZE.101041380,1,27.980974
SYN24373,1,28.071577
SYN24370,1,28.078894
SYN23119,1,28.377453
PZE.101041588,1,28.41778
PZB02058.2,1,28.422147
PZB02058.1,1,28.422409
PZE.101041602,1,28.422498
PUT.163a.149085801.877,1,28.447118
PUT.163a.149085801.876,1,28.447227
PZE.101041837,1,28.530052
PZE.101041854,1,28.597559
SYN6614,1,28.611186
PZE.101041986,1,28.61464
PZE.101041995,1,28.615055
PZE.101042009,1,28.615728
PZE.101042039,1,28.633491
PZE.101042040,1,28.633979
PZE.101042041,1,28.636893
PZE.101042048,1,28.641869
PZE.101042060,1,28.643372
PZE.101042156,1,28.766966
PZE.101042195,1,28.797065
PZE.101042196,1,28.797134
SYNGENTA14642,1,28.800164
PZE.101042341,1,28.928218
PZE.101042424,1,28.965193
SYN23444,1,29.255686
SYN23448,1,29.256154
SYN23445,1,29.256258
SYN23449,1,29.256508
SYN23446,1,29.256838
PZE.101043094,1,29.356263
PZE.101043096,1,29.356848
SYN6638,1,29.361312
PZE.101043180,1,29.401876
PZE.101043186,1,29.404923
PZE.101043189,1,29.405388
PZE.101043331,1,29.520221
PZE.101043507,1,29.551344
PZE.101043600,1,29.682714
PZE.101043604,1,29.684973
PZE.101043656,1,29.695464
PZE.101043669,1,29.743113
PZE.101043670,1,29.743134
PZE.101043674,1,29.758308
PZE.101043682,1,29.78682
PZE.101044115,1,30.219007
SYNGENTA1435,1,30.261694
PZE.101044313,1,30.281802
PZE.101044448,1,30.295281
PZE.101044520,1,30.302747
PZE.101044585,1,30.439109
ZM009766.0333,1,30.536734
SYN39234,1,30.53758
PZE.101044686,1,30.571134
PZE.101044692,1,30.572534
PZE.101044715,1,30.574099
PZE.101044721,1,30.61458
PZE.101044748,1,30.632015
PZE.101044926,1,30.684973
PZE.101044879,1,30.686692
PZE.101044787,1,30.690524
SYN34303,1,30.690912
PZE.101044778,1,30.691514
PZE.101044770,1,30.69815
PZE.101045061,1,30.746571
SYN37291,1,30.759136
SYN37292,1,30.764643
PZE.101045021,1,30.766833
PZE.101045001,1,30.809672
PZE.101045009,1,30.810832
PZE.101045064,1,30.892955
PZE.101045068,1,30.894419
PZE.101045070,1,30.894695
PZE.101045145,1,31.069528
PZE.101045130,1,31.070278
PZE.101045111,1,31.074723
PZE.101045108,1,31.076367
PZE.101045249,1,31.211189
SYN5392,1,31.248157
PZE.101045616,1,31.728283
SYNGENTA12229,1,31.746464
PZE.101046080,1,31.855363
SYN8488,1,31.864342
SYN8491,1,31.865704
PZE.101046057,1,31.866596
SYN8489,1,31.866669
SYN8487,1,31.870528
SYN8490,1,31.874985
PZE.101046128,1,31.980975
PZE.101046132,1,31.981521
PZE.101046735,1,32.15961
PZE.101046755,1,32.162019
PZE.101046835,1,32.202618
PZE.101046844,1,32.204761
PZE.101046858,1,32.210449
PZE.101046859,1,32.210473
PZE.101046876,1,32.232189
PZE.101046931,1,32.238417
PZE.101046967,1,32.313522
PUT.163a.78116065.4356,1,32.547117
PZA00654.12,1,32.548097
PZA00654.10,1,32.54816
PZE.101047349,1,32.758542
PZE.101047390,1,32.762933
PZE.101047517,1,32.842548
SYN2399,1,32.8744
PZE.101047611,1,32.876104
PUT.163a.18162870.1232,1,32.999218
SYN10143,1,33.116898
SYN10151,1,33.117347
SYN10144,1,33.122926
PZE.101047925,1,33.128061
PZE.101048115,1,33.221877
PZE.101048164,1,33.271665
SYN468,1,33.326458
PZE.101048542,1,33.387494
PZE.101048608,1,33.42127
PZE.101048629,1,33.427176
PZE.101048744,1,33.464367
PZE.101048807,1,33.530985
PZE.101048857,1,33.635194
PZE.101048890,1,33.677004
PZE.101048892,1,33.677101
PZE.101049044,1,33.804347
PZE.101049091,1,33.829205
PZE.101049120,1,33.83583
PZE.101049125,1,33.836668
SYN33792,1,33.838496
SYN34504,1,33.888722
SYN34505,1,33.890028
PZE.101049395,1,33.961275
PZE.101049396,1,33.973279
SYN34797,1,34.158462
SYN34799,1,34.158948
PZE.101049539,1,34.208143
PZE.101049608,1,34.26062
PUT.163a.60346415.2551,1,34.322271
PZE.101049707,1,34.402366
PUT.163a.22546732.1597,1,34.410183
PUT.163a.22546732.1596,1,34.410232
PZB01662.2,1,34.413013
PZB01662.1,1,34.413173
SYN37484,1,34.600003
SYN37483,1,34.600935
SYN24238,1,34.664883
PZE.101050010,1,34.668197
SYN24242,1,34.670058
SYN24240,1,34.672397
SYN24239,1,34.677237
SYN24244,1,34.721135
SYN24243,1,34.721141
PZE.101050072,1,34.815421
PZE.101050075,1,34.815622
SYN23168,1,34.815754
PZE.101050128,1,34.81902
PUT.163a.71771567.3545,1,34.826397
PUT.163a.4647510.2125,1,34.826444
PZE.101050207,1,34.900996
PZE.101050289,1,34.941225
PZE.101050298,1,34.944677
PZE.101050299,1,34.944722
SYN21341,1,34.945617
PZE.101050621,1,34.966084
PZE.101050744,1,34.999039
SYN7081,1,35.047742
SYN7084,1,35.138881
SYN7082,1,35.139105
PUT.163a.76010933.3725,1,35.246006
PZE.101051346,1,35.573276
PZA00017.4,1,35.582789
PZA00192.7,1,35.583783
SYN28157,1,35.586321
SYN28156,1,35.586924
SYN28155,1,35.588075
SYN12149,1,35.664443
SYN12150,1,35.665427
SYN6102,1,35.740868
SYN6099,1,35.741759
SYN6094,1,35.74475
SYN6095,1,35.747543
SYN6103,1,35.747613
SYN6097,1,35.747789
PZE.101051733,1,35.763862
PZE.101051764,1,35.764695
PZE.101051858,1,35.837313
SYN450,1,35.929944
