# Physical map (mm10) for Recla et al. (2019) DO data (https://doi.org/10.1097/j.pain.0000000000001571)
# nrow 74906
# ncol 3
marker,chr,Mbp_mm10
UNC103874,1,11.341672
UNC104485,1,11.372643
UNC105283,1,11.416077
UNC106795,1,11.502038
UNC107703,1,11.547936
UNC108325,1,11.570718
UNC109624,1,11.643615
UNC_rs48518594,1,11.672648
UNC110353,1,11.692348
UNC111393,1,11.746954
UNC112302,1,11.793253
JAX00241997,1,11.832552
UNC113047,1,11.835789
UNC114331,1,11.914562
UNC114802,1,11.95463
JAX00242019,1,11.970514
JAX00242029,1,11.996568
UNC115578,1,12.006194
UNC116540,1,12.082783
UNC116817,1,12.116705
UNC117421,1,12.181782
UNC118279,1,12.233226
UNC118659,1,12.273136
UNC119270,1,12.318704
UNC119817,1,12.371234
UNC120225,1,12.397782
UNC120822,1,12.459995
UNC121401,1,12.518475
UNC121959,1,12.581013
UNC122065,1,12.606658
UNC123049,1,12.684741
UNC010520877,1,12.722538
UNC123541,1,12.729603
UNC123662,1,12.740981
JAX00242146,1,12.797945
UNC124584,1,12.812959
JAX00242170,1,12.857792
UNC125332,1,12.880486
UNC125893,1,12.916065
UNC126538,1,12.946779
JAX00242215,1,12.994801
JAX00242226,1,13.038248
JAX00000747,1,13.055719
UNC128912,1,13.076797
UNC129874,1,13.129964
UNC130265,1,13.164449
UNC130697,1,13.202276
UNC131096,1,13.243837
JAX00000763,1,13.27527
UNC131724,1,13.287056
JAX00242345,1,13.326063
UNC132450,1,13.356203
UNC132724,1,13.381025
UNC134046,1,13.500643
UNC134669,1,13.540908
UNC135474,1,13.604982
UNC_rs50672660,1,13.653698
UNC136630,1,13.675105
UNC137674,1,13.738223
UNC138462,1,13.781683
JAX00242455,1,13.782602
JAX00242480,1,13.855369
UNC140121,1,13.860415
UNC140543,1,13.890559
UNC141072,1,13.936558
UNC142280,1,14.027765
JAX00000824,1,14.07703
UNC143394,1,14.134903
JAX00242525,1,14.138417
JAX00242530,1,14.190483
UNC144144,1,14.196604
JAX00000833,1,14.205522
UNC144647,1,14.22863
UNC145132,1,14.261489
JAX00000840,1,14.297118
UNC145909,1,14.334166
backupUNC010029391,1,14.350467
UNC146540,1,14.367338
UNC147332,1,14.421305
UNC148022,1,14.473352
UNC148652,1,14.540842
JAX00000859,1,14.542325
JAX00242592,1,14.568781
JAX00000863,1,14.579332
UNC149432,1,14.589546
UNC149968,1,14.622203
UNC150730,1,14.659888
UNC010030595,1,14.698538
UNC151920,1,14.726005
UNC152555,1,14.763878
UNC153710,1,14.835368
UNC154487,1,14.876688
UNC155247,1,14.909034
UNC156238,1,14.976701
UNC156797,1,15.019277
JAX00242692,1,15.10612
UNC158041,1,15.120755
UNC158683,1,15.165901
JAX00242707,1,15.206357
JAX00242713,1,15.217198
UNC159456,1,15.224755
UNC159803,1,15.267064
UNC160312,1,15.31941
JAX00000918,1,15.353592
JAX00242746,1,15.359024
UNC161340,1,15.367984
UNC162008,1,15.409882
UNC162603,1,15.439741
UNC163443,1,15.499909
UNC164396,1,15.558147
JAX00242808,1,15.581297
UNC164943,1,15.590146
UNC165948,1,15.645669
UNC166915,1,15.716413
JAX00242845,1,15.718815
UNC167166,1,15.752018
UNC167757,1,15.787725
JAX00242874,1,15.817404
UNC168953,1,15.857464
JAX00000960,1,15.905961
UNC169874,1,15.909294
UNC170285,1,15.938033
UNC172447,1,16.106636
UNC173039,1,16.155822
JAX00000980,1,16.162132
UNC173980,1,16.238141
UNC174093,1,16.247655
UNC010035232,1,16.303766
UNC176258,1,16.468348
UNC177767,1,16.578608
JAX00243025,1,16.698743
UNC179038,1,16.699047
UNC180162,1,16.788561
UNC182173,1,16.960039
UNC010687234,1,16.98167
UNC184484,1,17.121242
JAX00243092,1,17.170659
UNC186479,1,17.255046
JAX00243111,1,17.31631
UNC187637,1,17.321336
JAX00243158,1,17.492191
UNC010036966,1,17.595239
JAX00001099,1,17.753014
UNC194162,1,17.791343
UNC195750,1,17.873597
UNC197893,1,18.007392
UNC200911,1,18.182873
UNC201418,1,18.215345
backupUNC010039427,1,18.273811
UNC203703,1,18.331338
JAX00001153,1,18.48459
UNC206290,1,18.493429
JAX00001157,1,18.508483
UNC207853,1,18.616479
UNC209992,1,18.766557
JAX00243409,1,18.823698
UNC211603,1,18.872023
JAX00243419,1,18.958722
UNC213909,1,19.045994
JAX00243441,1,19.056782
UNC215285,1,19.164865
UNC216547,1,19.328374
JAX00001223,1,19.411723
UNC218583,1,19.481986
UNC219849,1,19.564696
UNC222054,1,19.717084
UNC010042487,1,19.71809
UNC222950,1,19.773579
UNC010523586,1,19.838001
UNC225391,1,19.958597
UNC227355,1,20.083938
JAX00243648,1,20.15025
UNC228500,1,20.168445
JAX00001283,1,20.201542
UNC231492,1,20.394846
UNC231727,1,20.410676
UNC235488,1,20.640694
UNC236681,1,20.734197
backupUNC010044640,1,20.832381
UNC239961,1,20.89036
JAX00243838,1,20.903918
UNC241230,1,20.947948
JAX00243875,1,21.043319
UNC243187,1,21.06485
JAX00243884,1,21.096614
UNC243821,1,21.099704
UNC244201,1,21.125991
UNC244917,1,21.160284
JAX00243904,1,21.186935
UNC245487,1,21.194052
UNC246230,1,21.261747
UNC246837,1,21.288738
backupUNC010527629,1,21.300176
UNC247939,1,21.347329
UNC248435,1,21.393539
UNC249229,1,21.437497
UNC250092,1,21.489282
UNC250644,1,21.524896
UNC251139,1,21.558878
UNC251384,1,21.591279
UNC252166,1,21.640961
JAX00244011,1,21.650918
UNC252437,1,21.657167
UNC253175,1,21.690647
UNC253917,1,21.729342
JAX00244057,1,21.734712
UNC254389,1,21.756808
UNC254822,1,21.792702
JAX00244072,1,21.846522
UNC255790,1,21.852313
UNC256701,1,21.919421
UNC257250,1,21.954533
UNC257864,1,21.991889
UNC258238,1,22.019536
UNC258775,1,22.050242
JAX00244102,1,22.05162
UNC259179,1,22.087305
UNC259406,1,22.1046
UNC259893,1,22.146168
UNC260263,1,22.183945
UNC260669,1,22.224442
UNC261003,1,22.249794
UNC261713,1,22.290012
JAX00001439,1,22.290408
UNC262158,1,22.309279
JAX00244148,1,22.357076
UNC263171,1,22.367196
UNC263810,1,22.40054
JAX00244173,1,22.428813
UNC264385,1,22.431417
UNC264416,1,22.468383
UNC264759,1,22.496689
UNC265227,1,22.530252
JAX00244192,1,22.57319
JAX00244193,1,22.578938
UNC266348,1,22.603904
UNC266725,1,22.634298
JAX00001464,1,22.664189
UNC267740,1,22.694428
UNC268149,1,22.714421
JAX00244218,1,22.735387
JAX00001471,1,22.739878
UNC010529057,1,22.749886
UNC268995,1,22.761004
UNC269692,1,22.796362
UNC269899,1,22.809394
UNC270452,1,22.843828
UNC271085,1,22.892643
UNC271472,1,22.92281
JAX00244274,1,22.942936
UNC271981,1,22.957842
UNC272451,1,22.990988
UNC273319,1,23.05396
UNC273653,1,23.074477
JAX00001497,1,23.110817
UNC274279,1,23.114228
UNC274811,1,23.1521
UNC275165,1,23.183233
UNC275738,1,23.226333
UNC275951,1,23.243149
UNC276290,1,23.2862
UNC276402,1,23.308752
JAX00244336,1,23.334283
UNC277058,1,23.343933
UNC277576,1,23.379426
UNC278071,1,23.417587
UNC278457,1,23.449018
UNC278894,1,23.478078
UNC010530523,1,23.495995
UNC279507,1,23.516452
UNC280005,1,23.54839
JAX00001531,1,23.550572
UNC280284,1,23.576777
JAX00244376,1,23.592338
UNC280863,1,23.611879
JAX00244392,1,23.635672
JAX00244394,1,23.649406
UNC281272,1,23.650848
UNC281641,1,23.675949
UNC282212,1,23.711831
JAX00244426,1,23.73151
UNC282861,1,23.758483
UNC283190,1,23.777731
UNC283804,1,23.812848
UNC284694,1,23.876278
UNC284897,1,23.899616
UNC285476,1,23.935913
UNC286382,1,23.976611
JAX00244476,1,23.98768
backupUNC010532073,1,24.004775
UNC287101,1,24.009313
UNC287500,1,24.042124
UNC288334,1,24.10834
UNC288956,1,24.139184
UNC289411,1,24.168465
UNC289995,1,24.206747
UNC290518,1,24.238432
UNC291039,1,24.272817
UNC291812,1,24.30519
JAX00244590,1,24.319366
UNC292291,1,24.335378
JAX00244609,1,24.356543
UNC292653,1,24.361913
UNC293247,1,24.404495
UNC293808,1,24.435251
UNC294157,1,24.453564
JAX00244636,1,24.480053
UNC295267,1,24.50964
UNC295523,1,24.521247
JAX00244653,1,24.523126
UNC296454,1,24.567974
UNC010440650,1,24.605537
UNC297129,1,24.608489
Mit024,1,24.612748
UNC297679,1,24.633909
UNC298040,1,24.664155
UNC298468,1,24.682449
UNC298792,1,24.700496
UNC300429,1,24.813217
UNC300940,1,24.845133
UNC301459,1,24.881014
UNC302007,1,24.9152
UNC302619,1,24.950487
UNC302824,1,24.978784
UNC303258,1,25.008192
UNC303470,1,25.030087
JAX00244772,1,25.04384
JAX00244775,1,25.066953
UNC304098,1,25.076347
UNC304526,1,25.1102
UNC304770,1,25.145269
UNC305044,1,25.173786
UNC305368,1,25.200434
UNC305681,1,25.234898
UNC306419,1,25.284899
UNC306690,1,25.302634
UNC307271,1,25.351001
JAX00001667,1,25.363504
UNC307551,1,25.373556
UNC307742,1,25.400753
UNC308448,1,25.474741
UNC309005,1,25.509963
UNC309235,1,25.5299
UNC309730,1,25.5712
UNC309997,1,25.602755
UNC310436,1,25.641993
JAX00001692,1,25.697943
UNC311195,1,25.700998
UNC312117,1,25.739699
UNC312831,1,25.782099
UNC313243,1,25.807012
JAX00244974,1,25.88199
UNC314592,1,25.898177
JAX00244982,1,25.919725
UNC315252,1,25.940852
UNC316811,1,26.028848
UNC317129,1,26.047253
UNC317647,1,26.087768
UNC318124,1,26.113425
UNC318619,1,26.157206
JAX00245029,1,26.1596
UNC319005,1,26.183052
JAX00245032,1,26.214245
UNC320670,1,26.253481
UNC321690,1,26.308002
UNC322195,1,26.358689
UNC323488,1,26.455114
UNC010535074,1,26.645442
UNC327331,1,26.694889
JAX00245113,1,26.700541
JAX00245123,1,26.7534
JAX00001782,1,26.914143
UNC330819,1,26.914881
UNC333485,1,27.09227
UNC337071,1,27.364775
JAX00001831,1,27.558092
UNC339202,1,27.569004
UNC340151,1,27.673833
UNC343081,1,28.032557
backupUNC011181136,1,28.092722
UNC010537386,1,28.154675
UNC346097,1,28.274517
UNC347566,1,28.435627
UNC010054938,1,28.610405
UNC349593,1,28.613252
UNC010055709,1,28.843416
UNC352920,1,28.884624
JAX00001940,1,29.001666
JAX00245377,1,29.003466
JAX00245379,1,29.028517
UNC355453,1,29.078404
JAX00245388,1,29.140855
UNC010058011,1,29.161192
JAX00001960,1,29.263597
JAX00001962,1,29.297844
UNC359010,1,29.323033
JAX00001969,1,29.395417
UNC361622,1,29.577722
backupUNC010059535,1,29.587166
UNC363662,1,29.786875
UNC365663,1,30.00962
backupUNC010060568,1,30.020863
backupUNC010060795,1,30.320509
UNC368438,1,30.341916
UNC369354,1,30.423841
UNC370888,1,30.570791
UNC371148,1,30.60764
UNC371742,1,30.658485
JAX00245570,1,30.677668
UNC371950,1,30.715615
UNC372374,1,30.758274
backupUNC010061308,1,30.774797
UNC372930,1,30.801684
UNC373330,1,30.845589
UNC373557,1,30.883225
UNC374016,1,30.915001
UNC374362,1,30.976991
UNC374674,1,31.02
JAX00002092,1,31.047545
JAX00245639,1,31.058299
UNC375193,1,31.058925
JAX00245647,1,31.085206
UNC375681,1,31.103369
JAX00245661,1,31.134727
UNC376451,1,31.153698
UNC377023,1,31.187964
UNC377508,1,31.227811
UNC378094,1,31.277378
UNC378383,1,31.331027
UNC378818,1,31.372759
backupUNC010062452,1,31.405679
UNC379113,1,31.407688
UNC379621,1,31.451054
UNC380599,1,31.559181
UNC380748,1,31.578988
UNC380880,1,31.618628
UNC381552,1,31.663025
UNC010062500,1,31.663163
JAX00002140,1,31.669084
UNC382234,1,31.7283
UNC382696,1,31.76764
UNC383081,1,31.828532
UNC383274,1,31.857418
UNC383727,1,31.884575
JAX00002160,1,31.955642
UNC384787,1,32.0028
UNC385016,1,32.035059
UNC385417,1,32.082234
UNC386035,1,32.16708
UNC386248,1,32.195613
UNC387018,1,32.253378
JAX00245787,1,32.296188
UNC388010,1,32.314294
JAX00245797,1,32.34179
UNC389166,1,32.398326
UNC389352,1,32.418795
UNC389737,1,32.468011
UNC390305,1,32.523513
JAX00245836,1,32.526964
UNC390703,1,32.564574
UNC391011,1,32.597437
backupUNC010539556,1,32.634721
UNC391961,1,32.647989
JAX00245877,1,32.724914
UNC392954,1,32.729578
UNC394473,1,32.828663
JAX00245909,1,32.861803
UNC394961,1,32.864214
UNC010063271,1,32.925434
UNC396545,1,32.970768
JAX00002239,1,32.988785
UNC397206,1,33.032429
UNC010539663,1,33.033973
UNC398516,1,33.132898
UNC399108,1,33.174345
UNC400200,1,33.259658
JAX00002267,1,33.370176
UNC401821,1,33.371703
UNC402209,1,33.392282
JAX00246070,1,33.428717
UNC402814,1,33.447236
UNC403880,1,33.499298
UNC404611,1,33.542534
UNC405147,1,33.578258
UNC405774,1,33.630808
JAX00246113,1,33.647454
UNC406061,1,33.649301
UNC406743,1,33.697351
UNC010540261,1,33.721638
UNC407455,1,33.731402
JAX00246131,1,33.740146
UNC407727,1,33.745742
UNC408010,1,33.762535
JAX00246144,1,33.789118
UNC408340,1,33.794732
UNC408563,1,33.815202
UNC408807,1,33.827517
UNC409387,1,33.860983
UNC409541,1,33.867683
UNC410159,1,33.891156
JAX00246170,1,33.899374
UNC410424,1,33.902274
UNC410901,1,33.926878
UNC411215,1,33.940907
JAX00246189,1,33.947365
UNC411472,1,33.953443
UNC411848,1,33.966908
UNC412410,1,33.988381
UNC412688,1,34.001076
UNC412921,1,34.020565
UNC413286,1,34.041701
UNC413360,1,34.046768
UNC413634,1,34.061957
JAX00002319,1,34.07214
UNC413954,1,34.084971
UNC414357,1,34.103495
UNC414561,1,34.113703
JAX00246237,1,34.114774
UNC010442447,1,34.119015
UNC414867,1,34.126653
UNC415288,1,34.147211
UNC415620,1,34.162961
JAX00246252,1,34.173196
UNC416008,1,34.178623
UNC416328,1,34.199749
UNC416643,1,34.214878
UNC416870,1,34.225808
UNC417190,1,34.245965
UNC417558,1,34.264675
UNC418172,1,34.297346
UNC418392,1,34.311794
UNC418645,1,34.324849
UNC419632,1,34.377379
UNC420009,1,34.394611
UNC420225,1,34.406549
backupUNC010066723,1,34.413492
UNC420525,1,34.42838
JAX00246331,1,34.431511
UNC420638,1,34.434394
UNC421161,1,34.458832
UNC421398,1,34.475749
UNC421584,1,34.487132
JAX00002354,1,34.513356
UNC422528,1,34.552517
JAX00246365,1,34.552843
UNC423396,1,34.59781
UNC423980,1,34.623625
JAX00246388,1,34.626688
UNC425112,1,34.679209
UNC425729,1,34.70634
UNC426583,1,34.759027
UNC427689,1,34.815613
JAX00246468,1,34.828647
JAX00002377,1,34.828665
UNC427885,1,34.835546
UNC428507,1,34.882738
UNC429302,1,34.951252
UNC010542162,1,34.951753
JAX00246508,1,34.981693
UNC429913,1,34.98384
UNC430594,1,35.035293
UNC431070,1,35.066466
UNC010442706,1,35.102343
UNC432097,1,35.122503
UNC432749,1,35.152984
UNC433296,1,35.190459
UNC434983,1,35.300465
UNC435822,1,35.348192
UNC436468,1,35.379623
JAX00246633,1,35.405706
UNC437077,1,35.418706
UNC438077,1,35.465384
UNC438854,1,35.526032
JAX00246679,1,35.563447
UNC439302,1,35.572866
UNC440036,1,35.612876
UNC440633,1,35.63782
JAX00246703,1,35.65245
UNC441788,1,35.711743
UNC442185,1,35.737815
UNC443247,1,35.805441
UNC443490,1,35.819487
JAX00246757,1,35.843651
JAX00002454,1,35.878973
UNC444874,1,35.901249
UNC445460,1,35.930302
UNC445897,1,35.952663
JAX00246839,1,36.007252
UNC446936,1,36.015153
UNC447572,1,36.063497
JAX00002469,1,36.077539
JAX00246861,1,36.078585
UNC448278,1,36.105883
UNC449157,1,36.149348
UNC449992,1,36.196141
UNC450817,1,36.241924
UNC452094,1,36.328807
UNC453140,1,36.408692
UNC453980,1,36.467927
UNC454349,1,36.500555
UNC455081,1,36.565686
UNC455417,1,36.590741
JAX00247063,1,36.606277
UNC455695,1,36.621541
UNC456277,1,36.679987
JAX00002519,1,36.714306
UNC457059,1,36.72592
UNC458188,1,36.78321
backupUNC010548191,1,36.785103
JAX00002525,1,36.811728
UNC458623,1,36.812823
UNC459226,1,36.850696
JAX00002531,1,36.859988
UNC459946,1,36.911745
UNC460218,1,36.942263
UNC460838,1,36.994601
JAX00247202,1,37.016554
JAX00247210,1,37.030925
UNC461326,1,37.03213
JAX00247218,1,37.044084
UNC010549141,1,37.055248
UNC462268,1,37.088166
UNC462996,1,37.124077
backupUNC011221975,1,37.194145
UNC464597,1,37.222967
UNC465365,1,37.270082
UNC465785,1,37.312571
UNC466142,1,37.356853
UNC466554,1,37.404527
UNC466794,1,37.42895
UNC467207,1,37.471701
JAX00247348,1,37.477272
UNC467761,1,37.504838
UNC468109,1,37.525527
JAX00247364,1,37.535845
JAX00002582,1,37.557939
UNC468545,1,37.561494
JAX00247383,1,37.582728
UNC469015,1,37.593862
UNC469219,1,37.615635
UNC469448,1,37.63925
UNC469748,1,37.652803
UNC470039,1,37.679148
JAX00247421,1,37.710152
UNC470398,1,37.710746
UNC470578,1,37.73508
UNC470729,1,37.754357
UNC470806,1,37.780914
UNC471090,1,37.820001
UNC471746,1,37.88261
UNC472065,1,37.907046
UNC472154,1,37.922054
JAX00247447,1,37.926644
UNC472399,1,37.945992
UNC472554,1,37.962474
UNC472726,1,37.993747
UNC472864,1,38.007047
UNC473155,1,38.042748
UNC473267,1,38.063872
UNC473434,1,38.087107
UNC473598,1,38.111284
UNC473770,1,38.135181
UNC474004,1,38.153339
JAX00191379,1,38.157636
UNC010551393,1,38.174018
UNC474350,1,38.181072
UNC474632,1,38.205289
UNC474803,1,38.217911
UNC475257,1,38.252932
JAX00247505,1,38.262607
UNC475628,1,38.277512
UNC476250,1,38.323059
UNC476660,1,38.347178
UNC477018,1,38.366118
UNC477390,1,38.391811
UNC477777,1,38.420894
JAX00247565,1,38.436038
UNC478124,1,38.441335
JAX00191390,1,38.467132
UNC478568,1,38.46874
JAX00247585,1,38.477112
UNC478743,1,38.479843
UNC479354,1,38.509265
UNC479707,1,38.528148
JAX00247595,1,38.530629
JAX00247605,1,38.560348
UNC480235,1,38.56265
JAX00247606,1,38.580491
UNC480646,1,38.591971
UNC480797,1,38.604509
UNC481045,1,38.623898
UNC481370,1,38.653254
JAX00247624,1,38.67046
JAX00002664,1,38.671356
UNC481580,1,38.672711
UNC482006,1,38.701778
UNC482255,1,38.720283
UNC010551883,1,38.734658
UNC482602,1,38.745704
UNC483273,1,38.793111
UNC483623,1,38.818597
UNC484069,1,38.841594
UNC484960,1,38.890061
UNC485336,1,38.912513
UNC485895,1,38.936129
UNC486654,1,38.980068
UNC487441,1,39.014729
JAX00247780,1,39.016071
UNC487589,1,39.022017
UNC488354,1,39.053961
UNC488654,1,39.070259
JAX00247813,1,39.10425
UNC489082,1,39.105524
UNC489248,1,39.118218
UNC489481,1,39.141201
UNC489921,1,39.17151
UNC490585,1,39.218437
UNC490855,1,39.232378
JAX00002707,1,39.243848
JAX00002710,1,39.261548
UNC491629,1,39.284006
UNC491954,1,39.305953
UNC492314,1,39.334119
UNC492646,1,39.362631
UNC492821,1,39.381068
UNC493060,1,39.396927
JAX00247915,1,39.417897
UNC493417,1,39.42204
JAX00247919,1,39.425723
UNC494410,1,39.478659
UNC494697,1,39.49569
JAX00247953,1,39.568242
JAX00247954,1,39.568279
UNC495671,1,39.577326
UNC496279,1,39.607116
UNC496336,1,39.609803
UNC496797,1,39.633126
UNC497379,1,39.663274
UNC497674,1,39.682406
UNC498300,1,39.714306
UNC498491,1,39.730195
JAX00247992,1,39.732405
UNC498932,1,39.755049
UNC499505,1,39.784768
UNC500236,1,39.821829
UNC012187196,1,39.83625
UNC500690,1,39.845829
UNC500979,1,39.869242
UNC501434,1,39.898792
UNC501578,1,39.910021
UNC501856,1,39.924122
JAX00248050,1,39.932298
UNC502074,1,39.936301
UNC502226,1,39.949831
JAX00248072,1,39.958952
JAX00002762,1,39.95975
UNC502453,1,39.962753
UNC502670,1,39.981593
UNC502861,1,39.994853
UNC502964,1,40.004667
UNC503061,1,40.012965
UNC503321,1,40.031145
UNC503417,1,40.040589
JAX00248113,1,40.041729
UNC503702,1,40.057767
UNC503938,1,40.072341
JAX00248119,1,40.082876
UNC504151,1,40.086127
UNC504343,1,40.098293
UNC504450,1,40.108579
UNC504677,1,40.122051
UNC010073213,1,40.137256
UNC504993,1,40.137792
UNC505220,1,40.15493
UNC505341,1,40.159032
JAX00248152,1,40.162216
UNC505646,1,40.173376
UNC505877,1,40.186363
UNC506099,1,40.203807
UNC506203,1,40.217186
UNC506368,1,40.227196
UNC506607,1,40.24341
JAX00248180,1,40.267678
UNC507009,1,40.27059
UNC507122,1,40.279163
JAX00248192,1,40.282026
UNC507551,1,40.299115
UNC507751,1,40.315416
UNC507882,1,40.324209
UNC508015,1,40.335763
UNC508122,1,40.3496
JAX00248207,1,40.35061
UNC508264,1,40.363196
UNC508517,1,40.375421
UNC508749,1,40.389328
UNC508878,1,40.396238
UNC509094,1,40.410273
JAX00248243,1,40.432799
JAX00248251,1,40.439384
UNC509651,1,40.44073
UNC509809,1,40.458688
UNC509907,1,40.464185
UNC510223,1,40.484126
UNC510316,1,40.490496
JAX00248271,1,40.495472
UNC510637,1,40.513437
UNC510748,1,40.523216
UNC510853,1,40.530323
UNC511312,1,40.549949
JAX00248287,1,40.562958
UNC511433,1,40.56329
UNC511891,1,40.588674
UNC512093,1,40.601261
UNC512234,1,40.615274
UNC512421,1,40.62872
UNC512562,1,40.641385
UNC512702,1,40.654136
UNC512930,1,40.669006
UNC513116,1,40.682856
JAX00002816,1,40.685528
UNC513219,1,40.691967
UNC513650,1,40.721401
UNC513848,1,40.731221
UNC514105,1,40.745206
JAX00002820,1,40.755452
UNC514382,1,40.76084
UNC514629,1,40.778349
backupUNC010074862,1,40.791247
UNC515038,1,40.798322
JAX00248331,1,40.807518
UNC515205,1,40.807588
UNC515549,1,40.824706
UNC515799,1,40.838975
UNC516206,1,40.85656
JAX00248339,1,40.861835
UNC516358,1,40.866401
UNC516522,1,40.874692
UNC516877,1,40.892542
JAX00248344,1,40.896255
UNC517197,1,40.908117
JAX00248346,1,40.909856
UNC517414,1,40.922707
JAX00248357,1,40.931737
UNC517564,1,40.931804
UNC517961,1,40.958784
UNC518187,1,40.972761
UNC518325,1,40.980568
JAX00248375,1,40.995038
UNC518753,1,41.007031
UNC519145,1,41.026395
UNC519296,1,41.039242
UNC519475,1,41.052625
JAX00248386,1,41.061544
UNC519575,1,41.062705
UNC519808,1,41.074643
UNC520232,1,41.09731
UNC520366,1,41.105182
UNC520787,1,41.135044
UNC521042,1,41.149086
JAX00248400,1,41.151928
UNC521141,1,41.155934
JAX00248402,1,41.16911
UNC521336,1,41.173901
UNC521498,1,41.183669
UNC521688,1,41.19449
UNC521970,1,41.211139
UNC522210,1,41.224005
UNC522478,1,41.239846
UNC522694,1,41.250931
UNC522839,1,41.259198
UNC523256,1,41.289098
JAX00248421,1,41.290362
UNC523568,1,41.306548
UNC523881,1,41.329072
UNC524208,1,41.355814
UNC524471,1,41.372425
UNC524732,1,41.391175
UNC524947,1,41.410921
JAX00248439,1,41.411404
JAX00002871,1,41.422748
UNC525221,1,41.433283
UNC525479,1,41.452295
UNC525766,1,41.47794
UNC525955,1,41.491565
UNC526214,1,41.513723
UNC526362,1,41.529433
UNC526893,1,41.557569
UNC527371,1,41.584822
JAX00002883,1,41.590612
UNC010075571,1,41.612785
UNC527937,1,41.622021
UNC528356,1,41.647001
UNC528437,1,41.651136
UNC528742,1,41.681741
UNC528903,1,41.702292
JAX00248498,1,41.704866
JAX00248499,1,41.706086
UNC529060,1,41.717742
UNC529444,1,41.744085
UNC529906,1,41.781418
UNC530110,1,41.796848
UNC530480,1,41.825114
UNC530837,1,41.848475
UNC531436,1,41.880728
UNC531500,1,41.886546
JAX00248544,1,41.904229
UNC531718,1,41.906176
JAX00002909,1,41.912677
UNC531839,1,41.91915
UNC532315,1,41.950766
UNC532412,1,41.960821
UNC532787,1,41.988878
JAX00002914,1,41.994144
UNC533184,1,42.019003
UNC533314,1,42.026549
UNC533491,1,42.04444
UNC533757,1,42.064747
UNC534089,1,42.095575
UNC534504,1,42.124203
UNC534538,1,42.129604
UNC534913,1,42.156171
UNC535173,1,42.172771
JAX00248612,1,42.175551
UNC010443677,1,42.182006
UNC535648,1,42.198474
UNC535822,1,42.213798
JAX00248629,1,42.226388
UNC536233,1,42.248208
UNC536360,1,42.254168
UNC536663,1,42.28144
UNC536810,1,42.293887
UNC537209,1,42.316577
JAX00248660,1,42.319987
JAX00248662,1,42.326781
UNC537525,1,42.347493
UNC537771,1,42.364723
